date,8841431.WI_成交额
2016-10-25,35502032040.0
2016-10-26,38149570240.0
2016-10-27,30270859460.0
2016-10-28,33567496549.999996
2016-10-31,27066988910.0
2016-11-01,35105031550.0
2016-11-02,38712974050.0
2016-11-03,46629508660.0
2016-11-04,39661280660.0
2016-11-07,37012852430.0
2016-11-08,40160275080.0
2016-11-09,45480772340.0
2016-11-10,47703730070.0
2016-11-11,49593662370.0
2016-11-14,48195725630.0
2016-11-15,41793600220.0
2016-11-16,43571666700.0
2016-11-17,37562252110.0
2016-11-18,36873984350.0
2016-11-21,39620845180.0
2016-11-22,45772406020.0
2016-11-23,48851152620.0
2016-11-24,44398758400.0
2016-11-25,39052704060.0
2016-11-28,36503666830.0
2016-11-29,37978294650.0
2016-11-30,31548796970.0
2016-12-01,29504525880.0
2016-12-02,32870776370.0
2016-12-05,24351668020.0
2016-12-06,24171055990.0
2016-12-07,26435725740.0
2016-12-08,28248717160.0
2016-12-09,26202985600.0
2016-12-12,40369453420.0
2016-12-13,26902927310.0
2016-12-14,26737738020.0
2016-12-15,26616790590.0
2016-12-16,29231011410.0
2016-12-19,26829640950.0
2016-12-20,26916722730.0
2016-12-21,29199736780.0
2016-12-22,26176659610.0
2016-12-23,26190991710.0
2016-12-26,25611931700.0
2016-12-27,29608094640.0
2016-12-28,30057015470.0
2016-12-29,25898955880.0
2016-12-30,26137556540.0
2017-01-03,30684959630.0
2017-01-04,34395716660.0
2017-01-05,38019516680.0
2017-01-06,34411925050.0
2017-01-09,29825285780.0
2017-01-10,31576400590.0
2017-01-11,29507274030.0
2017-01-12,26590496740.0
2017-01-13,29258964970.0
2017-01-16,37337881880.0
2017-01-17,27736359950.0
2017-01-18,21057333130.0
2017-01-19,19660042660.0
2017-01-20,22256864850.0
2017-01-23,23042690240.0
2017-01-24,21449976950.0
2017-01-25,19470671680.0
2017-01-26,18901532290.0
2017-02-03,16729568490.0
2017-02-06,25645781360.0
2017-02-07,26851380240.0
2017-02-08,27072413760.0
2017-02-09,30852940010.0
2017-02-10,32435280120.0
2017-02-13,30625329580.0
2017-02-14,26263508760.0
2017-02-15,32864917990.0
2017-02-16,27851132180.0
2017-02-17,30538719860.0
2017-02-20,27988809610.0
2017-02-21,29450359480.0
2017-02-22,32206276380.0
2017-02-23,31370871740.0
2017-02-24,30133257680.0
2017-02-27,28599803520.0
2017-02-28,26999271960.0
2017-03-01,30899527800.0
2017-03-02,28937392750.0
2017-03-03,27521641850.0
2017-03-06,33895213830.0
2017-03-07,34317764159.999996
2017-03-08,30871705810.0
2017-03-09,27475706300.0
2017-03-10,27410905610.0
2017-03-13,29473395030.0
2017-03-14,29649556460.0
2017-03-15,26897175870.0
2017-03-16,34209721680.0
2017-03-17,37329718800.0
2017-03-20,29912365180.0
2017-03-21,29715082320.0
2017-03-22,32746517590.0
2017-03-23,35529217450.0
2017-03-24,29632677450.0
2017-03-27,30509219430.0
2017-03-28,26097427160.0
2017-03-29,31541967190.0
2017-03-30,34644735570.0
2017-03-31,22758472450.0
2017-04-05,26019820430.0
2017-04-06,25904588110.0
2017-04-07,25321222440.0
2017-04-10,32104859880.0
2017-04-11,27841227680.0
2017-04-12,23575177030.0
2017-04-13,20310172980.0
2017-04-14,21525163640.0
