date,000852.SH_换手率均值_60日
2015-08-06,7.0366800000000005
2015-08-07,7.0319400000000005
2015-08-10,7.0570683333333335
2015-08-11,7.098556666666667
2015-08-12,7.109430000000001
2015-08-13,7.098265
2015-08-14,7.10945
2015-08-17,7.089811666666666
2015-08-18,7.094893333333333
2015-08-19,7.080066666666667
2015-08-20,7.045473333333333
2015-08-21,6.975828333333334
2015-08-24,6.9018999999999995
2015-08-25,6.845114999999999
2015-08-26,6.825576666666667
2015-08-27,6.781696666666666
2015-08-28,6.760998333333333
2015-08-31,6.707701666666667
2015-09-01,6.648803333333333
2015-09-02,6.622723333333334
2015-09-07,6.584393333333334
2015-09-08,6.54037
2015-09-09,6.520631666666666
2015-09-10,6.470605000000001
2015-09-11,6.428866666666666
2015-09-14,6.411420000000001
2015-09-15,6.383533333333333
2015-09-16,6.377868333333334
2015-09-17,6.3883633333333325
2015-09-18,6.362845000000001
2015-09-21,6.343788333333333
2015-09-22,6.353071666666667
2015-09-23,6.32833
2015-09-24,6.280235
2015-09-25,6.249596666666666
2015-09-28,6.209781666666667
2015-09-29,6.17434
2015-09-30,6.106656666666667
2015-10-08,6.140385
2015-10-09,6.182233333333333
2015-10-12,6.2218333333333335
2015-10-13,6.281226666666667
2015-10-14,6.307703333333333
2015-10-15,6.306635
2015-10-16,6.308018333333334
2015-10-19,6.312418333333334
2015-10-20,6.315063333333333
2015-10-21,6.323865
2015-10-22,6.314649999999999
2015-10-23,6.31188
2015-10-26,6.30807
2015-10-27,6.278499999999999
2015-10-28,6.2583649999999995
2015-10-29,6.226023333333333
2015-10-30,6.218368333333333
2015-11-02,6.192788333333334
2015-11-03,6.182391666666666
2015-11-04,6.210021666666666
2015-11-05,6.248581666666667
2015-11-06,6.2575433333333335
2015-11-09,6.304806666666666
2015-11-10,6.326558333333334
2015-11-11,6.317935
2015-11-12,6.30223
2015-11-13,6.305106666666666
2015-11-16,6.2848733333333335
2015-11-17,6.277193333333333
2015-11-18,6.243575000000001
2015-11-19,6.186473333333334
2015-11-20,6.172941666666666
2015-11-23,6.18267
2015-11-24,6.176328333333333
2015-11-25,6.224046666666667
2015-11-26,6.277101666666667
2015-11-27,6.28173
2015-11-30,6.29388
2015-12-01,6.273431666666666
2015-12-02,6.260351666666667
2015-12-03,6.261606666666667
2015-12-04,6.267394999999999
2015-12-07,6.274330000000001
2015-12-08,6.289978333333333
2015-12-09,6.256803333333334
2015-12-10,6.248436666666666
2015-12-11,6.241526666666667
2015-12-14,6.216295000000001
2015-12-15,6.216106666666667
2015-12-16,6.211416666666667
2015-12-17,6.212738333333333
2015-12-18,6.2372
2015-12-21,6.24281
2015-12-22,6.232444999999999
2015-12-23,6.243655
2015-12-24,6.234406666666667
2015-12-25,6.220485
2015-12-28,6.255038333333333
2015-12-29,6.26488
2015-12-30,6.2895199999999996
2015-12-31,6.282906666666666
2016-01-04,6.260886666666667
2016-01-05,6.236928333333334
2016-01-06,6.208055
2016-01-07,6.12465
2016-01-08,6.103196666666666
2016-01-11,6.054943333333332
2016-01-12,5.997699999999999
2016-01-13,5.946560000000001
2016-01-14,5.869318333333333
2016-01-15,5.821593333333334
2016-01-18,5.752453333333334
2016-01-19,5.6877233333333335
2016-01-20,5.635633333333334
2016-01-21,5.58801
2016-01-22,5.545916666666668
2016-01-25,5.496545
2016-01-26,5.470155
2016-01-27,5.461701666666667
2016-01-28,5.4012649999999995
2016-01-29,5.321078333333333
2016-02-01,5.2482516666666665
2016-02-02,5.170453333333334
2016-02-03,5.0911116666666665
2016-02-04,5.026935
2016-02-05,4.946095
2016-02-15,4.866383333333333
2016-02-16,4.829528333333333
2016-02-17,4.770468333333333
2016-02-18,4.746315
2016-02-19,4.713065
2016-02-22,4.664768333333333
2016-02-23,4.610200000000001
2016-02-24,4.592911666666667
2016-02-25,4.569376666666667
2016-02-26,4.517973333333333
2016-02-29,4.458475000000001
2016-03-01,4.413193333333334
2016-03-02,4.40432
2016-03-03,4.409838333333332
2016-03-04,4.407794999999999
2016-03-07,4.380113333333332
2016-03-08,4.369871666666667
2016-03-09,4.335706666666667
2016-03-10,4.3055216666666665
2016-03-11,4.269183333333333
2016-03-14,4.267513333333333
2016-03-15,4.255768333333333
2016-03-16,4.231443333333334
2016-03-17,4.225431666666667
2016-03-18,4.220231666666667
2016-03-21,4.228491666666667
2016-03-22,4.228976666666666
2016-03-23,4.22267
2016-03-24,4.215683333333334
2016-03-25,4.21108
2016-03-28,4.2203816666666665
2016-03-29,4.192931666666667
2016-03-30,4.197165
2016-03-31,4.201686666666666
2016-04-01,4.198295
2016-04-05,4.21847
2016-04-06,4.211200000000001
2016-04-07,4.219578333333334
2016-04-08,4.271068333333333
2016-04-11,4.261278333333333
2016-04-12,4.252713333333333
2016-04-13,4.280525
2016-04-14,4.29359
2016-04-15,4.296165
2016-04-18,4.29813
2016-04-19,4.299923333333334
2016-04-20,4.327358333333334
2016-04-21,4.3208
2016-04-22,4.305133333333333
2016-04-25,4.2971
2016-04-26,4.291093333333333
2016-04-27,4.279065
2016-04-28,4.266148333333333
2016-04-29,4.256095
2016-05-03,4.2616483333333335
2016-05-04,4.276936666666667
2016-05-05,4.277853333333334
2016-05-06,4.3049116666666665
2016-05-09,4.306901666666667
2016-05-10,4.298453333333333
2016-05-11,4.297838333333333
2016-05-12,4.2791533333333325
2016-05-13,4.248081666666667
2016-05-16,4.216905
2016-05-17,4.206638333333333
2016-05-18,4.182655
2016-05-19,4.154216666666667
2016-05-20,4.122496666666667
2016-05-23,4.083826666666666
2016-05-24,4.0608933333333335
2016-05-25,4.040403333333333
2016-05-26,4.024485
2016-05-27,3.98585
2016-05-30,3.9363716666666666
2016-05-31,3.9282983333333332
2016-06-01,3.940863333333333
2016-06-02,3.935773333333333
2016-06-03,3.9513516666666666
2016-06-06,3.962971666666667
2016-06-07,3.977978333333333
2016-06-08,3.9692566666666664
2016-06-13,3.984703333333333
2016-06-14,3.9835833333333333
2016-06-15,3.978735
2016-06-16,3.951608333333333
2016-06-17,3.9169166666666664
2016-06-20,3.88684
2016-06-21,3.874391666666667
2016-06-22,3.844266666666667
2016-06-23,3.842411666666666
2016-06-24,3.845371666666667
2016-06-27,3.8468816666666665
2016-06-28,3.8497866666666662
2016-06-29,3.84363
2016-06-30,3.840925
2016-07-01,3.814955
2016-07-04,3.7993983333333334
2016-07-05,3.791025
2016-07-06,3.7900766666666663
2016-07-07,3.794591666666667
2016-07-08,3.7883466666666665
2016-07-11,3.7649133333333333
2016-07-12,3.7636483333333337
2016-07-13,3.7684516666666665
2016-07-14,3.7646516666666665
2016-07-15,3.7641299999999998
2016-07-18,3.7239116666666665
2016-07-19,3.7127833333333333
2016-07-20,3.7168383333333335
