date,8841431.WI_换手率均值_120日
2011-08-29,3.1334283333333333
2011-08-30,3.123413333333333
2011-08-31,3.111638333333333
2011-09-01,3.094914166666667
2011-09-02,3.074636666666667
2011-09-05,3.0527208333333333
2011-09-06,3.0314783333333333
2011-09-07,3.0149158333333332
2011-09-08,3.005019166666666
2011-09-09,2.99179
2011-09-13,2.9812141666666667
2011-09-14,2.9659291666666667
2011-09-15,2.94789
2011-09-16,2.923674166666667
2011-09-19,2.8983583333333334
2011-09-20,2.8704899999999998
2011-09-21,2.8573291666666667
2011-09-22,2.8473566666666668
2011-09-23,2.8383183333333335
2011-09-26,2.8219608333333337
2011-09-27,2.805541666666667
2011-09-28,2.788688333333333
2011-09-29,2.7697291666666666
2011-09-30,2.7493666666666665
2011-10-10,2.7271366666666665
2011-10-11,2.7072783333333335
2011-10-12,2.692325
2011-10-13,2.673710833333333
2011-10-14,2.6495175
2011-10-17,2.633544166666667
2011-10-18,2.6188475
2011-10-19,2.6009191666666664
2011-10-20,2.587146666666667
2011-10-21,2.5720383333333334
2011-10-24,2.561876666666666
2011-10-25,2.5570933333333334
2011-10-26,2.5616433333333335
2011-10-27,2.5630941666666667
2011-10-28,2.5658841666666663
2011-10-31,2.569755
2011-11-01,2.5745825
2011-11-02,2.580905833333333
2011-11-03,2.5942241666666663
2011-11-04,2.596931666666667
2011-11-07,2.5905958333333334
2011-11-08,2.5850725
2011-11-09,2.5835625
2011-11-10,2.5838458333333336
2011-11-11,2.582995
2011-11-14,2.5840716666666665
2011-11-15,2.5878208333333332
2011-11-16,2.588961666666667
2011-11-17,2.5889758333333335
2011-11-18,2.591916666666667
2011-11-21,2.5853025
2011-11-22,2.5772891666666666
2011-11-23,2.5736858333333332
2011-11-24,2.572528333333333
2011-11-25,2.5670599999999997
2011-11-28,2.5613191666666664
2011-11-29,2.561360833333333
2011-11-30,2.565910833333333
2011-12-01,2.5680508333333334
2011-12-02,2.5617483333333335
2011-12-05,2.5558691666666666
2011-12-06,2.5503225
2011-12-07,2.539979166666667
2011-12-08,2.5344183333333334
2011-12-09,2.526060833333333
2011-12-12,2.5189458333333334
2011-12-13,2.5186491666666666
2011-12-14,2.513434166666667
2011-12-15,2.509850833333333
2011-12-16,2.502460833333333
2011-12-19,2.4874708333333335
2011-12-20,2.4726558333333335
2011-12-21,2.4629049999999997
2011-12-22,2.457055
2011-12-23,2.4466775
2011-12-26,2.4321224999999997
2011-12-27,2.4144141666666665
2011-12-28,2.395618333333333
2011-12-29,2.378696666666667
2011-12-30,2.3587766666666665
2012-01-04,2.3457666666666666
2012-01-05,2.335215
2012-01-06,2.3196341666666664
2012-01-09,2.3116825000000003
2012-01-10,2.3055325
2012-01-11,2.292265
2012-01-12,2.280475
2012-01-13,2.2727375
2012-01-16,2.260436666666666
2012-01-17,2.2535908333333334
2012-01-18,2.248838333333333
2012-01-19,2.2317625000000003
2012-01-20,2.2235541666666663
2012-01-30,2.213925
2012-01-31,2.2046599999999996
2012-02-01,2.1970099999999997
2012-02-02,2.193725
2012-02-03,2.1930525
2012-02-06,2.1929766666666666
2012-02-07,2.1883908333333335
2012-02-08,2.185155
2012-02-09,2.18253
2012-02-10,2.1796516666666665
2012-02-13,2.179135
2012-02-14,2.175409166666667
2012-02-15,2.1755666666666666
2012-02-16,2.178964166666667
2012-02-17,2.1747900000000002
2012-02-20,2.17346
2012-02-21,2.1763658333333336
2012-02-22,2.1893875
2012-02-23,2.200084166666667
2012-02-24,2.2085441666666665
2012-02-27,2.2193633333333334
2012-02-28,2.223920833333333
2012-02-29,2.2234975
2012-03-01,2.2237758333333333
2012-03-02,2.2256633333333338
2012-03-05,2.2335516666666666
2012-03-06,2.241005
2012-03-07,2.249235833333333
2012-03-08,2.258776666666667
2012-03-09,2.270260833333333
2012-03-12,2.2779149999999997
2012-03-13,2.28833
2012-03-14,2.3184291666666668
2012-03-15,2.333204166666667
2012-03-16,2.3455000000000004
2012-03-19,2.3545308333333335
2012-03-20,2.3646683333333334
2012-03-21,2.3724149999999997
2012-03-22,2.3792291666666667
2012-03-23,2.378071666666666
2012-03-26,2.372135833333333
2012-03-27,2.3715633333333335
2012-03-28,2.3809483333333334
2012-03-29,2.3844791666666665
2012-03-30,2.3853575
2012-04-05,2.3857541666666666
2012-04-06,2.391701666666667
2012-04-09,2.3978808333333332
2012-04-10,2.4024141666666665
2012-04-11,2.4049441666666667
2012-04-12,2.414241666666667
2012-04-13,2.429148333333333
2012-04-16,2.44019
2012-04-17,2.451848333333333
2012-04-18,2.468729166666667
2012-04-19,2.479750833333333
2012-04-20,2.4961975
2012-04-23,2.5120408333333333
2012-04-24,2.5257533333333333
2012-04-25,2.5324483333333334
2012-04-26,2.541710833333333
2012-04-27,2.5391783333333335
2012-05-02,2.5419308333333333
2012-05-03,2.5415375
2012-05-04,2.5388800000000002
