date,932000.CSI_均线_120日
2015-03-06,1648.0015875
2015-03-09,1652.2149141666669
2015-03-10,1656.5760083333334
2015-03-11,1660.9694558333333
2015-03-12,1665.0840624999998
2015-03-13,1669.2904891666667
2015-03-16,1674.0074983333334
2015-03-17,1678.8257724999999
2015-03-18,1683.7671166666667
2015-03-19,1689.2774408333332
2015-03-20,1694.8923833333333
2015-03-23,1700.9110875
2015-03-24,1706.9317374999998
2015-03-25,1713.3617033333333
2015-03-26,1719.3026991666668
2015-03-27,1725.1932266666665
2015-03-30,1731.08683
2015-03-31,1737.0412441666665
2015-04-01,1743.3077358333333
2015-04-02,1749.9764625
2015-04-03,1756.9403908333334
2015-04-07,1764.3018933333333
2015-04-08,1771.5754116666665
2015-04-09,1778.6477058333332
2015-04-10,1786.3220391666666
2015-04-13,1794.4449158333334
2015-04-14,1802.7978816666666
2015-04-15,1810.6021741666668
2015-04-16,1818.3630141666667
2015-04-17,1826.3085691666668
2015-04-20,1833.9481808333335
2015-04-21,1842.6599516666668
2015-04-22,1852.0703849999998
2015-04-23,1861.6384933333334
2015-04-24,1870.8305225
2015-04-27,1879.9352983333333
2015-04-28,1888.3409458333333
2015-04-29,1897.3590375
2015-04-30,1906.3768333333333
2015-05-04,1915.7683933333333
2015-05-05,1924.5992766666668
2015-05-06,1933.1421525
2015-05-07,1941.3921400000002
2015-05-08,1950.5386641666666
2015-05-11,1961.320765
2015-05-12,1972.5782583333332
2015-05-13,1984.5260941666668
2015-05-14,1996.9473641666666
2015-05-15,2009.0987324999999
2015-05-18,2022.0733791666669
2015-05-19,2035.7006783333334
2015-05-20,2050.2298075000003
2015-05-21,2065.7635525
2015-05-22,2081.5129558333333
2015-05-25,2097.56041
2015-05-26,2114.6974791666667
2015-05-27,2132.337494166667
2015-05-28,2148.5154025
2015-05-29,2165.3534683333332
2015-06-01,2183.6890958333333
2015-06-02,2203.5860333333335
2015-06-03,2223.794949166667
2015-06-04,2243.9933108333335
2015-06-05,2264.5806949999997
2015-06-08,2284.9627983333335
2015-06-09,2305.0149091666667
2015-06-10,2325.7103100000004
