date,000905.SH_成交额
2015-11-26,229452321502.0
2015-11-27,234340602090.0
2015-11-30,196799522008.0
2015-12-01,173439123367.0
2015-12-02,149757640119.0
2015-12-03,142963965925.0
2015-12-04,154876247992.0
2015-12-07,146830353646.0
2015-12-08,147230040604.0
2015-12-09,132301271630.0
2015-12-10,129506622913.0
2015-12-11,111880425976.0
2015-12-14,119228862265.0
2015-12-15,134207824297.0
2015-12-16,138082610031.0
2015-12-17,199820574463.0
2015-12-18,183995263802.0
2015-12-21,180730410255.0
2015-12-22,175826885093.0
2015-12-23,186904470878.0
2015-12-24,141331213219.0
2015-12-25,128807084414.0
2015-12-28,170493740379.0
2015-12-29,120873940017.0
2015-12-30,139407264187.0
2015-12-31,132286915826.0
2016-01-04,115089029548.0
2016-01-05,156717298586.0
2016-01-06,136351475197.0
2016-01-07,34781544777.0
2016-01-08,138934000171.0
2016-01-11,133119641104.0
2016-01-12,105727199662.0
2016-01-13,98456702875.0
2016-01-14,104255125841.0
2016-01-15,102277307351.0
2016-01-18,86980313690.0
2016-01-19,106185500293.0
2016-01-20,113394506635.0
2016-01-21,100555303501.0
2016-01-22,84429369084.0
2016-01-25,78677683156.0
2016-01-26,98104095983.0
2016-01-27,95354931801.0
2016-01-28,73152739267.0
2016-01-29,78303710591.0
2016-02-01,70863332935.0
2016-02-02,75674180029.0
2016-02-03,70624920617.0
2016-02-04,83226216373.0
2016-02-05,65321968979.0
2016-02-15,63351303196.0
2016-02-16,98534904807.0
2016-02-17,107857008107.0
2016-02-18,110109734502.0
2016-02-19,86849115989.0
2016-02-22,110801609577.0
2016-02-23,106556791415.0
2016-02-24,111114133801.0
2016-02-25,129597084427.0
2016-02-26,91756326917.0
2016-02-29,93375908218.0
2016-03-01,87222593763.0
2016-03-02,117963208755.0
2016-03-03,136298622526.0
2016-03-04,117455003081.0
2016-03-07,94467279705.0
2016-03-08,106368707875.0
2016-03-09,80804882924.0
2016-03-10,67298081386.99999
2016-03-11,55449986936.0
2016-03-14,95153496604.0
2016-03-15,82607046675.0
2016-03-16,69542980639.0
