date,8841431.WI_年化波动率_120日
2021-03-03,24.626861537473317
2021-03-04,24.578104533469244
2021-03-05,24.58403696592848
2021-03-08,24.577758274321255
2021-03-09,24.699488729661436
2021-03-10,24.870245742207363
2021-03-11,24.91261203122305
2021-03-12,24.81277216952236
2021-03-15,23.434243142026926
2021-03-16,23.5005308793535
2021-03-17,23.234726552834715
2021-03-18,23.236444129145077
2021-03-19,23.216533966333543
2021-03-22,23.25602402516875
2021-03-23,23.247849934940508
2021-03-24,23.25415493400403
2021-03-25,23.1380799164597
2021-03-26,23.162667263541987
2021-03-29,22.78010745695181
2021-03-30,22.878598504294914
2021-03-31,22.726550218776275
2021-04-01,22.706299562925967
2021-04-02,22.712188924704137
2021-04-06,22.428197740298074
2021-04-07,22.092702684031362
2021-04-08,22.171321021216748
2021-04-09,22.180254523227035
2021-04-12,22.221428295207108
2021-04-13,22.22818927405453
2021-04-14,22.348872023759757
2021-04-15,22.286532407974292
2021-04-16,22.545698872886604
2021-04-19,22.577719649895585
2021-04-20,22.542717150883217
2021-04-21,22.5520477549011
2021-04-22,22.562091654153402
2021-04-23,22.656749216734326
2021-04-26,22.67605920575953
2021-04-27,22.222974040074142
2021-04-28,22.214322368643394
2021-04-29,21.972830442480216
2021-04-30,22.04504135475839
2021-05-06,21.944756320824105
2021-05-07,21.896015904655616
2021-05-10,21.72552957163946
2021-05-11,21.758678427394038
2021-05-12,21.79930827392106
2021-05-13,21.78219051377461
2021-05-14,21.88636194000059
2021-05-17,22.033770304296134
2021-05-18,22.067965050021996
2021-05-19,22.021065381299337
2021-05-20,22.020866718526385
2021-05-21,22.06464283574043
2021-05-24,22.09637375880989
2021-05-25,22.10327929763117
2021-05-26,22.10158243224474
2021-05-27,22.116746383963687
2021-05-28,22.126707964392807
2021-05-31,22.163060347439377
2021-06-01,22.164781377339402
2021-06-02,22.165161653132607
2021-06-03,22.1687536751449
2021-06-04,22.170762920197326
2021-06-07,22.16508674458975
2021-06-08,22.192953061895977
2021-06-09,22.022383507411263
2021-06-10,22.026180859626155
2021-06-11,21.823604316440015
2021-06-15,21.846644161518366
2021-06-16,21.82426097735883
2021-06-17,21.656167377558475
2021-06-18,21.677824167565653
2021-06-21,21.67337236167197
2021-06-22,21.68492946147698
2021-06-23,21.409247620779176
2021-06-24,21.42214251284272
2021-06-25,21.09144152479426
2021-06-28,21.021125911259098
2021-06-29,20.883131604248472
2021-06-30,20.91354497582312
2021-07-01,21.00941408052753
2021-07-02,20.953561408253364
2021-07-05,21.100314871135872
2021-07-06,21.038854445240496
2021-07-07,20.797072882451733
2021-07-08,19.861650987369607
2021-07-09,19.878912635604532
2021-07-12,19.15762783496441
2021-07-13,19.162635681155855
2021-07-14,18.746513267788202
2021-07-15,18.933944290927617
2021-07-16,18.561667471584965
2021-07-19,18.3746900324778
2021-07-20,18.250933177146152
2021-07-21,18.34459610183527
2021-07-22,18.338461135547462
2021-07-23,18.360836613729255
2021-07-26,18.037628025838277
2021-07-27,18.159063135510213
2021-07-28,18.64019908598619
2021-07-29,18.873175284205406
2021-07-30,18.682517043397866
2021-08-02,18.82526236066515
2021-08-03,18.81719551218625
2021-08-04,18.593960246154882
2021-08-05,18.233311063257528
