date,932000.CSI_占市场比重
2018-07-23,14.394459965244133
2018-07-24,13.367221062157453
2018-07-25,15.804283855706997
2018-07-26,16.70986847881958
2018-07-27,17.51583183754341
2018-07-30,16.105110348805475
2018-07-31,15.830020744483194
2018-08-01,14.893432283207082
2018-08-02,14.872556362875608
2018-08-03,14.139601663047753
2018-08-06,14.02462528355676
2018-08-07,14.094411311697902
2018-08-08,15.812346755139536
2018-08-09,15.222374655622186
2018-08-10,16.492224968565722
2018-08-13,15.088291731983142
2018-08-14,16.521015374985268
2018-08-15,15.820261503712315
2018-08-16,15.17846292611161
2018-08-17,15.02782032932169
2018-08-20,14.349031207911878
2018-08-21,14.603115042194185
2018-08-22,16.172200456623706
2018-08-23,15.27889120281937
2018-08-24,15.360070017607466
2018-08-27,13.794152229287423
2018-08-28,14.846456689907656
2018-08-29,15.201249126205981
2018-08-30,14.973057719783553
2018-08-31,13.270066040186576
2018-09-03,14.10297683295592
2018-09-04,13.952412593970005
2018-09-05,15.379274662401826
2018-09-06,14.427660636136483
2018-09-07,13.949935746077823
2018-09-10,14.621445627524354
2018-09-11,14.50571879406002
2018-09-12,14.078423100318155
2018-09-13,13.589836735924067
2018-09-14,14.748320405866815
2018-09-17,15.727219857718397
2018-09-18,14.35378527793497
2018-09-19,14.008120869659695
2018-09-20,15.657614241326767
2018-09-21,13.419069262319328
2018-09-25,14.391995575067554
2018-09-26,13.17879111447111
2018-09-27,15.225183150879742
2018-09-28,13.400173912032665
2018-10-08,12.312653133663245
2018-10-09,13.893945476297192
2018-10-10,15.28568851071955
2018-10-11,14.244776902401926
2018-10-12,14.47800192234037
2018-10-15,15.407388722484683
2018-10-16,15.745180612308648
2018-10-17,15.363129081760432
2018-10-18,15.334590174311108
2018-10-19,13.203283920770254
2018-10-22,12.620739473509076
2018-10-23,13.356662631140356
2018-10-24,13.598769482376625
2018-10-25,12.955157476894005
2018-10-26,12.862833514965297
2018-10-29,11.658521755982054
2018-10-30,11.897779459231375
2018-10-31,13.490757568971809
2018-11-01,12.92291073485487
2018-11-02,12.639069207430232
2018-11-05,15.317838546423406
2018-11-06,16.003888707512598
2018-11-07,15.896143067269545
2018-11-08,16.787540434538258
2018-11-09,16.53050230854128
2018-11-12,16.741528504245885
2018-11-13,15.993969541778675
2018-11-14,16.731868071283216
2018-11-15,19.03613804637997
2018-11-16,17.387991297318152
2018-11-19,16.347206709114527
2018-11-20,16.440145472547655
2018-11-21,17.014846966018172
2018-11-22,17.860858133609874
2018-11-23,17.440836510612854
2018-11-26,17.718562621733764
2018-11-27,17.733307119911533
2018-11-28,16.872111231532553
2018-11-29,16.808441339061115
2018-11-30,16.9346528918514
2018-12-03,14.443337448761056
2018-12-04,17.20616201094487
2018-12-05,16.388642474419875
2018-12-06,15.249334034318963
2018-12-07,16.536170116009103
2018-12-10,16.48845821386479
2018-12-11,17.27343771971729
2018-12-12,17.871509633017062
2018-12-13,15.556837267149017
2018-12-14,15.527133317222502
2018-12-17,16.466812562525288
2018-12-18,18.172974604892207
2018-12-19,18.140413531948624
2018-12-20,16.777054184942333
2018-12-21,16.075134632614528
2018-12-24,18.96101810075849
2018-12-25,19.165878301542822
2018-12-26,21.811791731572587
2018-12-27,19.08977854019844
2018-12-28,17.62744156439142
2019-01-02,17.286930425981847
2019-01-03,17.92275877655732
2019-01-04,15.545780292287532
2019-01-07,16.612635069742197
2019-01-08,18.72499663791471
2019-01-09,17.425139232793192
2019-01-10,18.6866966205497
2019-01-11,19.31737435924024
2019-01-14,19.082350487947732
2019-01-15,17.55687135780973
2019-01-16,18.43978923757045
2019-01-17,17.878975670418562
2019-01-18,14.762359798214518
2019-01-21,14.28803380502266
2019-01-22,16.579350079328055
2019-01-23,18.138847051588574
2019-01-24,16.26092007344564
2019-01-25,16.23925429481428
2019-01-28,15.5334941155786
2019-01-29,15.891045378730043
2019-01-30,15.036521010101117
2019-01-31,14.2925182579486
2019-02-01,12.446139404590499
2019-02-11,12.411396054534686
2019-02-12,14.016982565147293
2019-02-13,13.510524569537901
2019-02-14,14.648481745436207
2019-02-15,14.845887868336233
2019-02-18,14.727509785223972
2019-02-19,15.247878099617262
2019-02-20,15.534465213929765
2019-02-21,15.570723254049879
2019-02-22,14.570580918458209
2019-02-25,13.138129731947185
2019-02-26,13.082147387597153
2019-02-27,12.804063114486707
2019-02-28,13.545430554273999
2019-03-01,12.758360924718703
2019-03-04,12.560794626482883
2019-03-05,14.6368020027736
2019-03-06,14.284391473800282
2019-03-07,14.217239969674388
2019-03-08,13.737496141776074
2019-03-11,14.287761625101583
2019-03-12,14.921131501988311
2019-03-13,15.468639011208655
2019-03-14,14.997657228314074
2019-03-15,15.056292279086481
2019-03-18,13.687771697418144
2019-03-19,14.720660952883858
2019-03-20,15.138868918378062
2019-03-21,15.493221983807093
2019-03-22,16.199768002317512
2019-03-25,15.212313820143542
2019-03-26,15.962041216297349
2019-03-27,16.41001635154996
2019-03-28,17.074286387874015
2019-03-29,13.994223161436025
2019-04-01,14.232830835878804
2019-04-02,15.459740587784983
2019-04-03,14.627515245906707
2019-04-04,14.438360362493574
2019-04-08,13.88083734429157
2019-04-09,15.543351493774221
2019-04-10,14.973515386037297
2019-04-11,15.226147492254288
2019-04-12,16.21376472006378
2019-04-15,14.366150380103178
2019-04-16,14.057696969072692
2019-04-17,15.310382856045576
2019-04-18,16.269051527277263
2019-04-19,15.653345183353078
2019-04-22,15.029598007327227
2019-04-23,14.759724658198703
2019-04-24,14.368084624508018
2019-04-25,15.344833019563708
2019-04-26,14.74241653458788
2019-04-29,13.806635095760816
2019-04-30,13.503143135791435
2019-05-06,11.76893420844376
2019-05-07,12.967447431792763
2019-05-08,14.024993293143808
2019-05-09,13.963748458476399
2019-05-10,14.590967885450166
2019-05-13,16.083196736264043
2019-05-14,15.67435881839621
2019-05-15,16.38899300049175
2019-05-16,16.58283737903873
2019-05-17,16.748904928463755
2019-05-20,16.015088748658485
2019-05-21,16.243497030675414
2019-05-22,16.837850979272634
2019-05-23,15.96468847256295
2019-05-24,16.02722610234572
2019-05-27,15.525737884686972
2019-05-28,16.450073387169763
2019-05-29,17.398855604601216
2019-05-30,17.51049526272862
2019-05-31,17.087592156850782
2019-06-03,16.393160330824898
2019-06-04,16.60171972754904
2019-06-05,16.857264216911528
2019-06-06,17.309884850135226
2019-06-10,15.810360580370308
2019-06-11,15.171536630932794
2019-06-12,17.295801717141163
2019-06-13,18.40204049799903
2019-06-14,16.957268499839167
2019-06-17,18.423373707910383
2019-06-18,18.902346155405983
2019-06-19,16.08096089808823
2019-06-20,14.89806074148442
2019-06-21,17.23258082454306
2019-06-24,19.146510956791534
2019-06-25,17.3295556013607
2019-06-26,18.853903376206677
2019-06-27,17.06302012012921
2019-06-28,18.769135930001287
2019-07-01,15.364498071481247
2019-07-02,17.007133800506626
2019-07-03,15.505185721268374
2019-07-04,15.834866300170654
2019-07-05,16.279082851489772
2019-07-08,16.64992976224663
2019-07-09,16.995568646078198
2019-07-10,18.361054935961857
2019-07-11,17.561810985678783
2019-07-12,17.185511973382702
2019-07-15,15.67605228082161
2019-07-16,17.419090082535465
2019-07-17,17.015273076368207
2019-07-18,17.406602794016646
2019-07-19,16.443218673247596
2019-07-22,16.129274551676694
2019-07-23,16.768699759805394
2019-07-24,16.74310124656986
2019-07-25,16.409352793024294
2019-07-26,16.345537805547078
2019-07-29,15.935510571722261
2019-07-30,15.720076671285996
2019-07-31,16.143131217342802
2019-08-01,16.438584731712982
2019-08-02,14.176601150982327
2019-08-05,13.704956631866889
2019-08-06,13.69126972652153
2019-08-07,14.687927034749116
2019-08-08,14.063749037122545
2019-08-09,14.654881255405996
2019-08-12,14.489553279071549
2019-08-13,14.927970450283034
2019-08-14,14.457732300218689
2019-08-15,14.700006480228161
2019-08-16,14.413392430971031
2019-08-19,14.134519376237481
2019-08-20,16.404212069083254
2019-08-21,16.573068050591374
2019-08-22,16.421550980644962
2019-08-23,15.851232231865668
2019-08-26,14.621907232207723
2019-08-27,14.118039380199438
2019-08-28,15.636908916575468
2019-08-29,15.440522223438059
2019-08-30,15.057369893734174
2019-09-02,14.465483249496872
2019-09-03,15.162656972623708
2019-09-04,14.664954976238779
2019-09-05,14.68537981099541
2019-09-06,15.313122017724046
2019-09-09,15.770393998018736
2019-09-10,16.514253340494598
2019-09-11,16.209941853593442
2019-09-12,17.06808074402038
2019-09-16,16.905782188069328
2019-09-17,16.930393927431314
2019-09-18,16.900656255382824
2019-09-19,17.332414141904735
2019-09-20,16.762649353514067
2019-09-23,16.093661059197263
2019-09-24,16.752761689014378
2019-09-25,17.064151312821927
2019-09-26,16.526322012989727
2019-09-27,17.101964384407147
2019-09-30,15.887612715961751
2019-10-08,15.346378077773903
2019-10-09,16.111787797301076
2019-10-10,16.008953930268806
2019-10-11,16.263223260859213
2019-10-14,15.432077624317882
2019-10-15,17.481326257101244
2019-10-16,16.52887211550003
2019-10-17,17.510477915332167
2019-10-18,16.35954274312449
2019-10-21,16.543443313452382
2019-10-22,17.51796090091828
2019-10-23,17.70268317609673
2019-10-24,16.923763646127824
2019-10-25,15.599575231094786
2019-10-28,15.471195342837913
2019-10-29,16.575751084206484
2019-10-30,16.241476945749113
2019-10-31,15.061261865688932
2019-11-01,14.20236718908274
2019-11-04,13.664201807933814
2019-11-05,12.980061762979506
2019-11-06,13.852585937366202
2019-11-07,15.361128435298557
2019-11-08,14.78701642121853
2019-11-11,15.462558658943266
2019-11-12,15.709616159118022
2019-11-13,15.19263597513267
2019-11-14,15.426150416388051
2019-11-15,15.352851688094745
2019-11-18,15.178753611340998
2019-11-19,15.242571404927393
2019-11-20,15.143048345357451
2019-11-21,15.240798843096304
2019-11-22,13.30017328727148
2019-11-25,12.395544162173051
2019-11-26,11.62203527707028
2019-11-27,12.98111009082036
2019-11-28,15.353391120876658
2019-11-29,13.341008392091577
2019-12-02,13.973308637625435
2019-12-03,14.456095857712404
2019-12-04,14.564008268391342
2019-12-05,14.276800471766038
2019-12-06,15.034769000197276
2019-12-09,14.720990320109792
2019-12-10,15.200022330722698
2019-12-11,15.203255706414012
2019-12-12,15.865107893362243
2019-12-13,13.171488072468525
2019-12-16,14.496906769491021
2019-12-17,13.96887434670554
2019-12-18,15.287861110402456
2019-12-19,17.00193399386887
2019-12-20,16.562584279558315
2019-12-23,15.945423674861829
2019-12-24,16.583028959247123
2019-12-25,16.257189821847533
2019-12-26,16.75305571133196
2019-12-27,14.824948682302075
2019-12-30,13.734474636878538
2019-12-31,14.401430156981663
2020-01-02,13.023398744222229
2020-01-03,15.954063394121809
2020-01-06,14.765126175605372
2020-01-07,16.17431607908625
2020-01-08,15.98189223280387
2020-01-09,16.036730128871586
2020-01-10,16.813828455765844
2020-01-13,15.484963261171321
2020-01-14,16.325779278179724
2020-01-15,16.846154485281918
2020-01-16,16.331695426193598
2020-01-17,15.863742406239483
2020-01-20,14.930421925837086
2020-01-21,14.785546716971657
2020-01-22,14.70338426349418
2020-01-23,13.993796471998074
2020-02-03,8.612429966519038
2020-02-04,13.522643505914852
2020-02-05,13.345219225450537
2020-02-06,13.851617443822326
2020-02-07,15.00580317305057
2020-02-10,15.209471762524238
2020-02-11,15.645613554902681
2020-02-12,14.909917109930454
2020-02-13,14.781959405861347
2020-02-14,14.47649712850959
2020-02-17,14.648715306846984
2020-02-18,16.289115688853133
2020-02-19,16.23472362335675
2020-02-20,15.331485821500316
2020-02-21,15.614576455984587
2020-02-24,15.215545718847146
2020-02-25,15.061158394489436
2020-02-26,14.795598594375592
2020-02-27,15.082032416345761
2020-02-28,14.631247116367366
2020-03-02,14.524565694171947
2020-03-03,15.393896805721882
2020-03-04,15.921891332025048
2020-03-05,15.444988046829575
2020-03-06,17.551968203907254
2020-03-09,16.078268803140585
2020-03-10,16.52501559189191
2020-03-11,17.696478163519952
2020-03-12,17.93388956759568
2020-03-13,16.12318820565129
2020-03-16,16.09924212202204
2020-03-17,16.201074592627656
2020-03-18,16.671051008810426
2020-03-19,15.01836966259735
2020-03-20,17.1920690354908
2020-03-23,16.993399786916292
2020-03-24,16.955476681731632
2020-03-25,16.3803962866916
2020-03-26,17.605070313281235
2020-03-27,17.099701029774113
2020-03-30,16.777356334687955
2020-03-31,17.102161643503862
2020-04-01,16.652475078037536
2020-04-02,16.67826024973436
2020-04-03,18.216347342022836
2020-04-07,16.949025771504534
2020-04-08,19.25469737218793
2020-04-09,19.165849455148347
2020-04-10,18.43595732124433
2020-04-13,18.200199057039622
2020-04-14,16.323942029334333
2020-04-15,17.189702459541877
2020-04-16,17.819749023455515
2020-04-17,15.864150224639104
2020-04-20,16.586477640703475
2020-04-21,17.13143776982303
2020-04-22,18.985515554110957
2020-04-23,18.644877418250054
2020-04-24,18.76820174611306
