date,000852.SH_动量_120日
2018-11-08,-31.357308388932527
2018-11-09,-31.126985072753598
2018-11-12,-28.73366452974433
2018-11-13,-27.645201399165575
2018-11-14,-28.458671981409623
2018-11-15,-27.560968130621166
2018-11-16,-25.980610834244146
2018-11-19,-25.435768115585212
2018-11-20,-26.440132987646457
2018-11-21,-25.31997233824306
2018-11-22,-24.649648562225867
2018-11-23,-25.51656815831459
2018-11-26,-26.625413739714244
2018-11-27,-25.178658378631823
2018-11-28,-23.924167682053987
2018-11-29,-26.89927156510675
2018-11-30,-26.458302856978854
2018-12-03,-23.468012268211236
2018-12-04,-21.91098785961364
2018-12-05,-21.699611324125268
2018-12-06,-23.684546395553564
2018-12-07,-22.330362309616604
2018-12-10,-22.82977257562203
2018-12-11,-20.370926637621256
2018-12-12,-14.553241064247258
2018-12-13,-14.75507267902232
2018-12-14,-14.935601381037856
2018-12-17,-16.49673830004118
2018-12-18,-16.613772600705133
2018-12-19,-18.44522738335621
2018-12-20,-17.395764233219634
2018-12-21,-17.01129629033986
2018-12-24,-18.72535787326167
2018-12-25,-18.480639651299423
2018-12-26,-19.763905987702845
2018-12-27,-19.561493414960296
2018-12-28,-17.236967839598115
2019-01-02,-17.974518604718536
2019-01-03,-20.24019685728906
2019-01-04,-18.58725333936384
2019-01-07,-14.865037455210162
2019-01-08,-17.257995609092504
2019-01-09,-17.385859642220314
2019-01-10,-17.684279901802768
2019-01-11,-17.108199231132627
2019-01-14,-17.139964144046704
2019-01-15,-15.264300954070809
2019-01-16,-16.314390226238785
2019-01-17,-17.67758204627584
2019-01-18,-18.43737525280438
2019-01-21,-18.124352771223485
2019-01-22,-18.71696344615851
2019-01-23,-18.12635554032349
2019-01-24,-16.458530563490715
2019-01-25,-16.862269405053276
2019-01-28,-16.234839692801884
2019-01-29,-15.692477755554313
2019-01-30,-15.840065937659354
2019-01-31,-15.334517257654024
2019-02-01,-15.089213345670782
2019-02-11,-11.170654308325433
2019-02-12,-11.909927545138377
2019-02-13,-10.898841245643897
2019-02-14,-10.972479239737321
2019-02-15,-10.792417899791673
2019-02-18,-5.707853161141085
2019-02-19,-4.142071585980189
2019-02-20,-2.3045403147432975
2019-02-21,-3.0561809650036964
2019-02-22,-1.98598561963933
2019-02-25,4.3487273750257405
2019-02-26,3.7096513280037824
2019-02-27,3.7945684471323293
2019-02-28,1.9309835000684838
2019-03-01,2.500493598675324
2019-03-04,5.353617111416842
2019-03-05,10.55947164894404
2019-03-06,14.214918162664315
2019-03-07,16.287597580825942
2019-03-08,10.173211513519043
2019-03-11,16.767802576134084
2019-03-12,19.823773693547086
2019-03-13,16.81204871631723
2019-03-14,15.543486446746634
2019-03-15,17.294535945795154
2019-03-18,20.25563529876799
2019-03-19,19.84088346559194
2019-03-20,20.746716189742
2019-03-21,23.989656184151762
2019-03-22,22.312737770324432
2019-03-25,19.94810274099943
2019-03-26,16.899134658884684
2019-03-27,16.258706218294527
2019-03-28,15.056329198313168
2019-03-29,17.822270827952515
2019-04-01,24.10265162760785
2019-04-02,23.81400760379515
2019-04-03,29.46760698476465
2019-04-04,29.911117501910823
2019-04-08,29.46095659136141
2019-04-09,40.13867810328588
2019-04-10,40.83461398885069
2019-04-11,40.10399945490448
2019-04-12,43.181334266847784
2019-04-15,41.001291529872866
2019-04-16,48.930808612873975
2019-04-17,46.988155686311515
2019-04-18,39.304094073018334
2019-04-19,42.844765759778625
2019-04-22,41.45224996589418
2019-04-23,39.88054432081765
2019-04-24,41.14982530921618
2019-04-25,37.312546212801976
2019-04-26,34.53651559636002
2019-04-29,27.765930438967025
2019-04-30,28.303768542196384
2019-05-06,14.95675529330358
2019-05-07,15.534224895035575
2019-05-08,14.9819906486673
2019-05-09,14.043374730055103
2019-05-10,19.09614823848449
2019-05-13,18.51266400024134
2019-05-14,14.282169426782044
2019-05-15,14.527623949675528
2019-05-16,15.362439913342406
2019-05-17,9.441362918202412
2019-05-20,7.9034116708125435
2019-05-21,9.621733522719577
2019-05-22,12.127234965065758
2019-05-23,8.681398102234073
2019-05-24,7.22956393731824
2019-05-27,15.3489643766203
2019-05-28,15.555368617179678
2019-05-29,15.088234786046083
2019-05-30,12.972286222581308
2019-05-31,15.526214472492805
2019-06-03,13.05649774556028
2019-06-04,7.469006526527644
2019-06-05,6.444176168415061
2019-06-06,4.4386396687924545
2019-06-10,7.779164731169841
2019-06-11,11.786432005278913
2019-06-12,12.578991159653041
2019-06-13,12.152251729552654
2019-06-14,9.626275983260824
2019-06-17,8.332903172012717
2019-06-18,11.180584038637221
2019-06-19,13.119022312320805
2019-06-20,15.678946005860862
2019-06-21,19.249223385804083
2019-06-24,18.749204637378035
2019-06-25,18.458402952706976
2019-06-26,17.39838476364106
2019-06-27,19.557663522989486
2019-06-28,18.39884436469259
2019-07-01,23.883352572883034
2019-07-02,23.780711968184008
2019-07-03,23.136739696985288
2019-07-04,23.47632372462971
2019-07-05,20.595352940008603
2019-07-08,14.150999743543323
2019-07-09,14.728597888891738
2019-07-10,13.491640492707035
2019-07-11,13.615232772941344
2019-07-12,12.930080568445955
2019-07-15,14.793134049894885
2019-07-16,13.803609620878365
2019-07-17,14.065126586820732
2019-07-18,13.036946810091044
2019-07-19,12.830986183701842
2019-07-22,8.984162674548756
2019-07-23,11.467982683708833
2019-07-24,12.694108704736085
2019-07-25,12.410911612891407
2019-07-26,13.208860488085715
2019-07-29,14.190968263778814
2019-07-30,16.696177094817987
2019-07-31,17.565796932967558
2019-08-01,18.76819483017784
2019-08-02,13.564131026706683
2019-08-05,9.124629881180768
2019-08-06,4.791152163789669
2019-08-07,2.639056775525561
2019-08-08,2.9975183701757
2019-08-09,2.0169206989299138
