date,000300.SH_RSI,000300.SH_RSI_30P,000300.SH_RSI_70P
2006-04-14,73.2292407904099,48.44175441083545,73.88681810054831
2006-04-17,73.32633416050824,49.905250422124645,73.88681810054831
2006-04-18,72.87418797967253,50.72492423591886,73.88681810054831
2006-04-19,79.18170963480024,51.32007845867855,74.13053090322276
2006-04-20,76.18635892672123,51.64043920013943,74.38178837031823
2006-04-21,75.58320145360764,51.717960659732256,74.87363285771427
2006-04-24,70.0629801578643,51.75990576060381,74.87363285771427
2006-04-25,67.0474859427309,51.86808944018077,74.87363285771427
2006-04-26,69.64452794598685,51.991080820759656,74.87363285771427
2006-04-27,69.44958648075723,53.02060971820243,74.87363285771427
2006-04-28,69.9702850434719,53.48449972643599,74.87363285771427
2006-05-08,76.87561795530951,53.58840374523557,74.92084811085256
2006-05-09,82.98696586016497,53.75223147967092,75.16269554299784
2006-05-10,94.08200922603801,54.39819127907511,75.59470542290468
2006-05-11,87.6216108892763,54.73503100723882,75.63906937063702
2006-05-12,89.64430561387168,55.00226457541916,75.72851442824555
2006-05-15,91.55484982804171,55.27305526220387,75.9451855499029
2006-05-16,84.46485366115147,55.7797094713614,76.39313663529771
2006-05-17,85.87132533902117,56.41275048980998,76.90814220068658
2006-05-18,83.72278269503659,56.60489089952059,77.06034487271033
2006-05-19,87.4394580806913,57.88305308323926,77.66326382078208
2006-05-22,87.97139823565654,58.712544369025245,78.67197050853679
2006-05-23,73.30704128044218,59.28693911055312,78.67197050853679
2006-05-24,71.4649738728272,59.579441433316354,78.67197050853679
2006-05-25,69.91612713360801,60.12024155592563,78.67197050853679
2006-05-26,67.754908918855,61.35005754699094,78.67197050853679
2006-05-29,67.9676997847279,62.60759451776881,78.67197050853679
2006-05-30,67.78011365606278,63.20009447360754,78.67197050853679
2006-05-31,67.26976976976977,63.50597238590848,78.67197050853679
2006-06-01,66.87665803486065,64.03437590454456,78.67197050853679
2006-06-02,56.95891124138866,64.03437590454456,78.67197050853679
2006-06-05,63.603504928806146,64.03754285748916,78.67197050853679
2006-06-06,62.03105202443317,64.03754285748916,78.67197050853679
2006-06-07,48.382214984866444,64.03754285748916,78.67197050853679
2006-06-08,43.5258462650727,64.03754285748916,78.67197050853679
2006-06-09,38.102194588219106,64.03754285748916,78.67197050853679
2006-06-12,46.45062057304435,64.03754285748916,78.67197050853679
2006-06-13,48.172770875808574,64.03754285748916,78.67197050853679
2006-06-14,45.84431129366034,64.03754285748916,78.67197050853679
2006-06-15,41.381198983157134,64.03754285748916,78.67197050853679
2006-06-16,40.78918250703949,64.03754285748916,78.67197050853679
2006-06-19,41.770945507348614,64.03754285748916,78.67197050853679
2006-06-20,44.69318385580302,64.03754285748916,78.67197050853679
2006-06-21,34.50699505364142,64.03754285748916,78.67197050853679
2006-06-22,36.25391400686333,63.60033797586154,78.67197050853679
2006-06-23,34.67331848380901,63.50597238590848,78.67197050853679
2006-06-26,42.15812369133791,62.92143542343142,78.67197050853679
2006-06-27,64.61444742708342,62.92143542343142,78.67197050853679
2006-06-28,62.75717604114818,62.53933883613367,78.67197050853679
2006-06-29,84.78424183110155,62.53933883613367,78.67197050853679
2006-06-30,83.72335731146123,62.53933883613367,78.67197050853679
2006-07-03,86.21119339219602,62.53933883613367,78.67197050853679
2006-07-04,88.89120020557125,62.53933883613367,78.67197050853679
2006-07-05,79.90452691362971,62.53933883613367,78.67197050853679
2006-07-06,79.0961170492581,62.53933883613367,78.82759596425498
2006-07-07,72.98022512929732,62.53933883613367,78.67197050853679
2006-07-10,72.70872384230105,62.53933883613367,77.48520069977965
2006-07-11,75.8528651770787,62.53933883613367,76.90814220068658
2006-07-12,76.86549779303586,62.53933883613367,76.86853384171795
2006-07-13,51.45442282931445,61.521935446833304,76.39010058661562
2006-07-14,48.541399736319214,60.078203589612784,75.95291330197145
2006-07-17,51.81653003207942,59.166176416658416,75.84513742501015
2006-07-18,52.28730913750786,57.989208697372916,75.72851442824555
2006-07-19,37.54355920217432,56.47520994331295,75.72851442824555
2006-07-20,39.929045500914796,55.13815228416888,75.72851442824555
2006-07-21,35.813169403488914,54.344068985844906,75.72851442824555
2006-07-24,37.94507122507125,53.57209862142072,75.72851442824555
2006-07-25,45.66758195005957,53.09871084752664,75.72851442824555
2006-07-26,37.828061738290515,52.17331678918282,75.61222677561061
2006-07-27,36.423723111630025,51.88009325978757,74.59733350906231
2006-07-28,33.51942550643324,51.707897871249926,74.55304573659933
2006-07-31,25.65722189786171,51.07509978077348,73.88681810054831
2006-08-01,24.303541315345704,49.69542878815361,73.88681810054831
2006-08-02,32.31261334874545,48.49364431088338,73.56189904114878
2006-08-03,27.880794358870766,48.319381752149084,73.56189904114878
2006-08-04,18.62489288568378,47.656125784979295,73.56189904114878
2006-08-07,16.725350543308732,46.26872778922914,73.56189904114878
2006-08-08,30.484810865396184,45.791292490580105,73.312829144462
2006-08-09,27.473898357131894,45.3752625217826,73.25258093741958
2006-08-10,30.58341599617915,44.57077142618161,73.25258093741958
2006-08-11,31.243972999035652,44.21820710628701,73.25258093741958
2006-08-14,22.521809445982274,43.985802360676836,73.25258093741958
2006-08-15,28.997274856969824,43.72331904620467,73.25258093741958
2006-08-16,35.772287013243705,43.34173839491456,73.25258093741958
2006-08-17,36.08786861185777,42.830954933582355,73.25258093741958
2006-08-18,43.62158566098132,42.830954933582355,73.25258093741958
2006-08-21,47.095153619496685,42.830954933582355,73.25258093741958
2006-08-22,52.47572909978795,42.830954933582355,73.25258093741958
2006-08-23,53.438203134251815,42.830954933582355,73.25258093741958
2006-08-24,64.06106411063281,42.830954933582355,73.25258093741958
2006-08-25,71.64565873078485,42.830954933582355,73.25258093741958
2006-08-28,72.0147108150846,42.830954933582355,73.25258093741958
2006-08-29,73.17619397501835,43.34173839491456,73.25258093741958
2006-08-30,70.45692903292635,43.34173839491456,73.25258093741958
2006-08-31,70.42667910931382,43.59286384220873,73.25258093741958
2006-09-01,74.96309581292678,43.59286384220873,73.312829144462
2006-09-04,74.78954241102433,43.92989298753572,73.56189904114878
2006-09-05,72.01693046635877,44.50383610873697,73.56189904114878
2006-09-06,80.27087450993099,45.3752625217826,74.31494802382434
2006-09-07,71.97507281324219,45.791292490580105,74.31494802382434
2006-09-08,72.19319549441126,46.26872778922914,74.31494802382434
2006-09-11,70.46847853540186,46.90179370556098,74.31494802382434
2006-09-12,72.26674525081035,47.849485698915004,74.31494802382434
2006-09-13,66.23064922596903,47.849485698915004,74.31494802382434
2006-09-14,65.44008995696775,47.849485698915004,74.31494802382434
2006-09-15,63.76511487303505,47.849485698915004,74.31494802382434
2006-09-18,66.06794055201703,47.849485698915004,74.31494802382434
2006-09-19,65.63749731240594,47.849485698915004,73.56189904114878
2006-09-20,64.65644972246184,47.849485698915004,73.312829144462
2006-09-21,77.93793809942493,47.849485698915004,73.312829144462
2006-09-22,66.02469598711525,47.849485698915004,73.25258093741958
2006-09-25,63.62870721289777,47.849485698915004,73.19210801963581
2006-09-26,54.49616914748584,47.849485698915004,73.03901578301362
2006-09-27,67.67430320072786,47.849485698915004,72.90599912455997
2006-09-28,70.61697952924023,47.849485698915004,72.75836308351249
2006-09-29,72.60653209980381,47.849485698915004,72.63718962255298
2006-10-09,76.54031991836987,47.849485698915004,72.63718962255298
