date,932000.CSI_成交额
2015-01-07,10413241557.0
2015-01-08,11875572338.0
2015-01-09,12272860350.0
2015-01-12,9945361311.0
2015-01-13,10045346879.0
2015-01-14,9567470132.0
2015-01-15,9764800060.0
2015-01-16,11665085941.0
2015-01-19,15987491431.0
2015-01-20,16442357100.0
2015-01-21,19536323589.0
2015-01-22,18409980994.0
2015-01-23,17401385695.0
2015-01-26,15594508628.0
2015-01-27,17461101181.0
2015-01-28,16485259869.0
2015-01-29,13345100918.0
2015-01-30,13235763388.0
2015-02-02,12106370871.0
2015-02-03,13348920475.0
2015-02-04,13819584620.0
2015-02-05,15601574531.0
2015-02-06,14041552298.0
2015-02-09,11728879497.0
2015-02-10,9629928853.0
2015-02-11,10261582124.0
2015-02-12,11610213548.0
2015-02-13,14391966296.0
2015-02-16,14740824835.0
2015-02-17,13180371903.0
2015-02-25,15252544708.0
2015-02-26,15687736862.0
2015-02-27,17308001323.0
2015-03-02,24084501488.0
2015-03-03,24142552596.0
2015-03-04,21439392581.0
2015-03-05,24617512212.0
2015-03-06,22417199443.0
2015-03-09,20935871024.0
2015-03-10,23979213110.0
2015-03-11,26195882288.0
2015-03-12,25150098190.0
2015-03-13,20963181098.0
2015-03-16,31075367259.0
2015-03-17,35977697095.0
2015-03-18,33856056527.999996
2015-03-19,33553147479.0
2015-03-20,33169005143.0
2015-03-23,37462697940.0
2015-03-24,46877581120.0
2015-03-25,40857495652.0
2015-03-26,43570770575.0
2015-03-27,30336054672.0
2015-03-30,35128044352.0
2015-03-31,35606605424.0
2015-04-01,36354446051.0
2015-04-02,42047615976.0
2015-04-03,44017033317.0
2015-04-07,48344877191.0
2015-04-08,52666444685.0
2015-04-09,47391336600.0
2015-04-10,41552660934.0
2015-04-13,48388157394.0
2015-04-14,46028396508.0
2015-04-15,41915912233.0
2015-04-16,33401959010.0
2015-04-17,38358234736.0
2015-04-20,42088987243.0
2015-04-21,34718851163.0
2015-04-22,43920893016.0
2015-04-23,50961381016.0
2015-04-24,44480277573.0
2015-04-27,44337124199.0
2015-04-28,41616191706.0
2015-04-29,34786375384.0
2015-04-30,38049901071.0
2015-05-04,33228940614.0
2015-05-05,36564874878.0
2015-05-06,34167999685.000004
2015-05-07,27731484559.0
2015-05-08,33449169156.0
2015-05-11,43960031397.0
2015-05-12,52431303720.0
2015-05-13,52830187793.0
2015-05-14,54323900116.0
2015-05-15,48605323104.0
2015-05-18,51698994314.0
2015-05-19,54989173594.0
2015-05-20,65496984671.0
2015-05-21,65542460219.0
2015-05-22,77407707099.0
2015-05-25,75162739542.0
2015-05-26,73447143189.0
2015-05-27,77197855768.0
2015-05-28,87609621494.0
2015-05-29,79753647243.0
2015-06-01,69195501273.0
2015-06-02,83190278923.0
2015-06-03,90658068771.0
2015-06-04,82152858123.0
2015-06-05,82748834432.0
2015-06-08,77697518120.0
2015-06-09,61127482094.0
2015-06-10,67137765077.00001
2015-06-11,68470905008.0
2015-06-12,76254550367.0
2015-06-15,96257595422.0
2015-06-16,84424797963.0
2015-06-17,75965141437.0
2015-06-18,74021811648.0
2015-06-19,61569283369.0
2015-06-23,61445298866.0
2015-06-24,70532777903.0
2015-06-25,75446349814.0
2015-06-26,53805351798.0
2015-06-29,56121149785.0
2015-06-30,70467571126.0
2015-07-01,63447755300.0
2015-07-02,45693296992.0
2015-07-03,42352794631.0
2015-07-06,50572061613.0
2015-07-07,13498355096.0
2015-07-08,22100322336.0
2015-07-09,28848133385.0
2015-07-10,23749901282.0
2015-07-13,38800105351.0
2015-07-14,51510587965.0
2015-07-15,52133801749.0
2015-07-16,50322627668.0
2015-07-17,49936194252.0
