date,000300.SH_均线_20日
2007-07-24,3833.0127500000003
2007-07-25,3843.7617
2007-07-26,3865.99485
2007-07-27,3893.1481
2007-07-30,3925.7801999999997
2007-07-31,3957.1970499999998
2007-08-01,3984.5418000000004
2007-08-02,4029.47965
2007-08-03,4073.88445
2007-08-06,4118.01855
2007-08-07,4165.46485
2007-08-08,4209.3755
2007-08-09,4257.39375
2007-08-10,4302.7217
2007-08-13,4353.883
2007-08-14,4404.178849999999
2007-08-15,4453.73765
2007-08-16,4499.4849
2007-08-17,4532.21985
2007-08-20,4568.655049999999
2007-08-21,4609.223
2007-08-22,4649.03425
2007-08-23,4690.6715
2007-08-24,4736.1934
2007-08-27,4777.8359
2007-08-28,4817.396200000001
2007-08-29,4861.463450000001
2007-08-30,4901.715249999999
2007-08-31,4936.63695
2007-09-03,4972.3962
2007-09-04,5004.1855
2007-09-05,5038.9437
2007-09-06,5070.68125
2007-09-07,5099.08685
2007-09-10,5131.88835
2007-09-11,5148.31455
2007-09-12,5168.51985
2007-09-13,5199.921249999999
2007-09-14,5238.456
2007-09-17,5269.13005
2007-09-18,5294.336450000001
2007-09-19,5312.71545
2007-09-20,5330.664699999999
2007-09-21,5343.19055
2007-09-24,5356.7279499999995
2007-09-25,5366.870199999999
2007-09-26,5376.33015
2007-09-27,5385.6516
2007-09-28,5399.8516
2007-10-08,5411.54995
2007-10-09,5427.329650000001
2007-10-10,5443.45505
2007-10-11,5460.8571
2007-10-12,5482.9784
2007-10-15,5505.189649999999
2007-10-16,5542.84515
2007-10-17,5573.9082
2007-10-18,5587.197050000001
2007-10-19,5598.03615
2007-10-22,5596.7246
2007-10-23,5599.8871500000005
2007-10-24,5608.32445
2007-10-25,5600.268300000001
2007-10-26,5596.60375
2007-10-29,5596.32685
2007-10-30,5603.3995
2007-10-31,5619.7756
2007-11-01,5628.65435
2007-11-02,5623.260200000001
2007-11-05,5608.61865
2007-11-06,5590.69975
2007-11-07,5573.94325
2007-11-08,5540.622799999999
2007-11-09,5505.7880000000005
2007-11-12,5463.62825
2007-11-13,5416.73035
2007-11-14,5382.8189
2007-11-15,5356.0872
2007-11-16,5325.7673
2007-11-19,5301.85425
2007-11-20,5278.31885
2007-11-21,5248.799150000001
2007-11-22,5220.740400000001
2007-11-23,5193.8081
2007-11-26,5158.39435
2007-11-27,5114.14855
2007-11-28,5062.15895
2007-11-29,5024.00085
2007-11-30,4987.224749999999
2007-12-03,4957.8432
2007-12-04,4933.426450000001
2007-12-05,4914.19235
2007-12-06,4908.061650000001
2007-12-07,4908.1029
2007-12-10,4915.8684
2007-12-11,4925.906199999999
2007-12-12,4922.4813
2007-12-13,4912.64055
2007-12-14,4911.14005
2007-12-17,4904.2837
2007-12-18,4892.31005
2007-12-19,4889.7433
2007-12-20,4902.972199999999
2007-12-21,4915.2567500000005
2007-12-24,4935.609350000001
2007-12-25,4960.8924
2007-12-26,4991.70615
2007-12-27,5017.97915
2007-12-28,5048.0225
2008-01-02,5078.64395
