date,881001.WI_均线_20日
2006-09-26,1069.159485
2006-09-27,1070.794435
2006-09-28,1072.718625
2006-09-29,1076.1168300000002
2006-10-09,1079.7958999999998
2006-10-10,1083.500605
2006-10-11,1086.9852500000002
2006-10-12,1090.699365
2006-10-13,1094.512925
2006-10-16,1097.6649599999998
2006-10-17,1100.40594
2006-10-18,1104.457495
2006-10-19,1108.69131
2006-10-20,1111.971575
2006-10-23,1113.127865
2006-10-24,1115.473495
2006-10-25,1117.7307500000002
2006-10-26,1119.74425
2006-10-27,1121.454505
2006-10-30,1123.2900450000002
2006-10-31,1126.1696100000001
2006-11-01,1128.95012
2006-11-02,1131.094585
2006-11-03,1132.96435
2006-11-06,1133.96757
2006-11-07,1134.8111549999999
2006-11-08,1135.152875
2006-11-09,1136.88089
2006-11-10,1137.357495
2006-11-13,1136.85461
2006-11-14,1137.108275
2006-11-15,1137.8197
2006-11-16,1138.01852
2006-11-17,1139.2475900000002
2006-11-20,1142.6008
2006-11-21,1145.23186
2006-11-22,1148.4077949999999
2006-11-23,1151.90463
2006-11-24,1156.51864
2006-11-27,1161.8241249999999
2006-11-28,1166.42347
2006-11-29,1171.372135
2006-11-30,1177.8566700000001
2006-12-01,1184.4913649999999
2006-12-04,1192.4736
2006-12-05,1200.9756000000002
2006-12-06,1209.2487150000002
2006-12-07,1216.3584
2006-12-08,1222.174055
2006-12-11,1231.84718
2006-12-12,1241.22666
2006-12-13,1249.47649
2006-12-14,1259.12773
2006-12-15,1268.94762
2006-12-18,1279.631315
2006-12-19,1289.984025
2006-12-20,1300.55827
2006-12-21,1309.869975
2006-12-22,1318.44388
2006-12-25,1327.46081
2006-12-26,1336.265835
2006-12-27,1345.4925449999998
2006-12-28,1352.7016899999999
2006-12-29,1361.132495
2007-01-04,1368.510395
2007-01-05,1376.03345
2007-01-08,1386.644565
2007-01-09,1399.6883549999998
2007-01-10,1417.01091
2007-01-11,1431.399005
2007-01-12,1443.22317
