date,932000.CSI_换手率均值_20日
2025-08-05,6.5783000000000005
2025-08-06,6.5535
2025-08-07,6.536760000000001
2025-08-08,6.519330000000001
2025-08-11,6.5501000000000005
2025-08-12,6.54662
2025-08-13,6.62335
2025-08-14,6.7354
2025-08-15,6.801779999999999
2025-08-18,6.890085000000001
2025-08-19,6.967650000000001
2025-08-20,7.024884999999999
2025-08-21,7.11641
2025-08-22,7.177025
2025-08-25,7.3228800000000005
2025-08-26,7.402760000000001
2025-08-27,7.548415
2025-08-28,7.66043
2025-08-29,7.73268
2025-09-01,7.822120000000001
2025-09-02,7.937050000000001
2025-09-03,7.960835
2025-09-04,8.009939999999999
2025-09-05,8.031
2025-09-08,8.0303
2025-09-09,8.008725000000002
2025-09-10,7.948185
2025-09-11,7.88291
2025-09-12,7.886995000000001
2025-09-15,7.79876
2025-09-16,7.741995
2025-09-17,7.699415
2025-09-18,7.739585
2025-09-19,7.71082
2025-09-22,7.558974999999999
2025-09-23,7.518395
2025-09-24,7.348789999999999
2025-09-25,7.214925000000001
2025-09-26,7.150869999999999
2025-09-29,7.051489999999999
2025-09-30,6.879569999999999
2025-10-09,6.822419999999999
2025-10-10,6.75256
2025-10-13,6.69876
2025-10-14,6.6785499999999995
2025-10-15,6.63099
2025-10-16,6.59616
2025-10-17,6.533385
2025-10-20,6.4182950000000005
2025-10-21,6.366565
2025-10-22,6.259569999999999
2025-10-23,6.16486
2025-10-24,5.988535000000001
2025-10-27,5.932270000000001
2025-10-28,5.92781
2025-10-29,5.865005
2025-10-30,5.879965
2025-10-31,5.8780149999999995
2025-11-03,5.896005
2025-11-04,5.949855
2025-11-05,6.046685
2025-11-06,6.088265
2025-11-07,6.10284
2025-11-10,6.15553
2025-11-11,6.17722
2025-11-12,6.228260000000001
2025-11-13,6.292985
2025-11-14,6.368895
2025-11-17,6.46298
2025-11-18,6.520645
2025-11-19,6.565835
2025-11-20,6.6028199999999995
2025-11-21,6.69638
2025-11-24,6.7009
2025-11-25,6.709845
2025-11-26,6.721349999999999
2025-11-27,6.70179
2025-11-28,6.700010000000001
2025-12-01,6.705385
2025-12-02,6.69179
2025-12-03,6.669064999999999
2025-12-04,6.636449999999999
2025-12-05,6.622255
2025-12-08,6.60962
2025-12-09,6.5826400000000005
2025-12-10,6.577965000000001
2025-12-11,6.5683050000000005
2025-12-12,6.53004
2025-12-15,6.470994999999999
2025-12-16,6.427555
2025-12-17,6.406264999999999
2025-12-18,6.37571
2025-12-19,6.312589999999999
2025-12-22,6.305075
2025-12-23,6.307265
2025-12-24,6.280615
2025-12-25,6.284395
2025-12-26,6.31138
2025-12-29,6.314134999999999
2025-12-30,6.323635
2025-12-31,6.3090850000000005
2026-01-05,6.33947
2026-01-06,6.3846799999999995
2026-01-07,6.41242
2026-01-08,6.46082
2026-01-09,6.548954999999999
2026-01-12,6.686240000000001
2026-01-13,6.86387
2026-01-14,7.09419
2026-01-15,7.1619600000000005
2026-01-16,7.231995
2026-01-19,7.305380000000001
2026-01-20,7.36897
2026-01-21,7.41107
2026-01-22,7.447655
2026-01-23,7.54837
2026-01-26,7.659574999999999
2026-01-27,7.6944
2026-01-28,7.727504999999999
2026-01-29,7.802854999999999
2026-01-30,7.856434999999999
2026-02-02,7.851014999999999
2026-02-03,7.804895
2026-02-04,7.763805
2026-02-05,7.691525
2026-02-06,7.5828299999999995
2026-02-09,7.424915000000001
2026-02-10,7.230639999999999
2026-02-11,6.988145
2026-02-12,6.903664999999999
2026-02-13,6.784895000000001
2026-02-24,6.721584999999999
2026-02-25,6.66516
