date,000300.SH_年化波动率_60日
2006-05-24,21.460211041412872
2006-05-25,21.477200780717602
2006-05-26,21.644293849692293
2006-05-29,22.066266491280654
2006-05-30,22.085930710845624
2006-05-31,22.26839771805803
2006-06-01,22.293668609010847
2006-06-02,22.47079719757557
2006-06-05,22.435913672419716
2006-06-06,21.744392173444464
2006-06-07,25.11706178334033
2006-06-08,25.044121455584893
2006-06-09,25.70795575156189
2006-06-12,25.673360805364787
2006-06-13,25.65851050692491
2006-06-14,25.803895606511574
2006-06-15,25.789024519322158
2006-06-16,26.09663631277272
2006-06-19,26.089626290048717
2006-06-20,26.09074838654867
2006-06-21,26.131366610406285
2006-06-22,26.14709961387569
2006-06-23,26.074970275793962
2006-06-26,26.20791128838002
2006-06-27,26.219724418715
2006-06-28,26.22219909259515
2006-06-29,26.362011067818987
2006-06-30,26.384699042308966
2006-07-03,26.419867948782528
2006-07-04,26.496030724246356
2006-07-05,26.6941696400803
2006-07-06,26.847572715717625
2006-07-07,26.909878639157547
2006-07-10,26.84994466073503
2006-07-11,26.84962965527296
2006-07-12,26.78990169725342
2006-07-13,28.709094527299463
2006-07-14,28.467599087545796
2006-07-17,28.508919750578134
2006-07-18,28.507476724752095
2006-07-19,29.144632849804957
2006-07-20,29.12716273746873
2006-07-21,29.073908398363287
2006-07-24,29.024582013376104
2006-07-25,29.069395993545267
2006-07-26,29.029782555216716
2006-07-27,29.167086393386942
2006-07-28,29.179987765621107
2006-07-31,29.200926774420605
2006-08-01,28.79119725223568
2006-08-02,28.72631410991765
2006-08-03,28.67636274151816
2006-08-04,28.310380740463863
2006-08-07,27.044586449140755
2006-08-08,27.330592259656843
2006-08-09,27.316427303297647
2006-08-10,27.52652989940457
2006-08-11,26.998533817253833
2006-08-14,27.33978294709672
2006-08-15,26.312486396220873
2006-08-16,26.438656969662283
2006-08-17,26.500774238318918
2006-08-18,26.244086825279012
2006-08-21,25.668781844545702
2006-08-22,25.713280358030584
2006-08-23,25.655667407811517
2006-08-24,25.044204209045002
2006-08-25,25.004196181881987
2006-08-28,25.396644693859784
2006-08-29,25.407075392974505
2006-08-30,22.570645136988624
2006-08-31,22.562149514746718
2006-09-01,22.239220083533308
2006-09-04,22.414880774942567
2006-09-05,22.418723989014424
2006-09-06,22.30237918914623
2006-09-07,22.484795401910393
2006-09-08,21.926924792229855
2006-09-11,21.79953430829634
2006-09-12,21.834182390480336
2006-09-13,21.867723932721265
2006-09-14,21.86547105442213
2006-09-15,22.12449475745608
2006-09-18,21.921948907298354
2006-09-19,21.92505635525804
2006-09-20,21.924263084733205
2006-09-21,21.448156972277985
2006-09-22,21.523373249238528
2006-09-25,21.173355695417047
2006-09-26,21.23948614107844
2006-09-27,21.19421764569519
2006-09-28,20.994956797866145
2006-09-29,21.102105065735337
2006-10-09,21.609548416373794
2006-10-10,21.59222585204452
2006-10-11,21.593405393969736
2006-10-12,18.73766573974883
2006-10-13,18.685177101876054
2006-10-16,18.66413588831182
2006-10-17,18.676675091535188
2006-10-18,18.066047710392336
2006-10-19,18.035265450435702
2006-10-20,17.980395054454632
2006-10-23,18.568215751402644
2006-10-24,18.931213708482765
2006-10-25,18.9379927535909
2006-10-26,18.796596450015276
2006-10-27,18.830969573334926
2006-10-30,17.270077257290172
2006-10-31,17.242201037943595
2006-11-01,17.242244156740878
2006-11-02,17.21744444680045
2006-11-03,16.37055776438297
2006-11-06,16.09762135865306
2006-11-07,15.610799906860837
2006-11-08,15.883019669582039
2006-11-09,15.938577118251018
2006-11-10,16.285901542816827
2006-11-13,15.99371264216234
2006-11-14,15.879867169397526
2006-11-15,16.468415708828868
2006-11-16,16.296226230598872
2006-11-17,16.53998703455456
2006-11-20,16.854524730822398
2006-11-21,16.86232404047376
2006-11-22,16.861718706542586
2006-11-23,16.86900083535009
2006-11-24,16.876182036865682
2006-11-27,16.447024920718935
2006-11-28,16.53297559705678
2006-11-29,16.665288597333774
2006-11-30,17.35943175461077
2006-12-01,16.91114964389064
2006-12-04,17.524422806796043
2006-12-05,17.527266922362685
2006-12-06,17.724992364260693
2006-12-07,17.392703410798457
2006-12-08,19.29565143977458
2006-12-11,20.9463186482515
2006-12-12,20.948506756701498
2006-12-13,20.83008417978798
2006-12-14,20.959769569151785
2006-12-15,20.940737986130586
2006-12-18,21.32021567057059
2006-12-19,21.315458746053757
2006-12-20,21.291196185968335
2006-12-21,21.66570145482125
2006-12-22,21.613712990074912
2006-12-25,21.83915755064381
2006-12-26,21.614705747207385
2006-12-27,21.864837302251253
2006-12-28,21.88980025812658
2006-12-29,22.4083648170415
2007-01-04,22.18310303914563
2007-01-05,22.16740577601602
