date,932000.CSI_年化波动率_120日
2015-02-27,23.828792408319575
2015-03-02,24.006462120008173
2015-03-03,23.971274917367605
2015-03-04,24.09299534584712
2015-03-05,23.986481633063175
2015-03-06,23.98197831340721
2015-03-09,24.019900317676708
2015-03-10,24.078239188134
2015-03-11,24.079736717664524
2015-03-12,24.102621237395432
2015-03-13,24.12613424747557
2015-03-16,24.496097052980755
2015-03-17,24.514476776283235
2015-03-18,24.546219909567235
2015-03-19,23.987323860412534
2015-03-20,24.005824224193535
2015-03-23,24.262421093307914
2015-03-24,24.232216429727448
2015-03-25,24.273484533306807
2015-03-26,24.305608114884063
2015-03-27,24.251502830305153
2015-03-30,24.25156891723655
2015-03-31,24.254311990795
2015-04-01,24.4111176565133
2015-04-02,24.615268121478408
2015-04-03,24.74539598074617
2015-04-07,24.87619767935175
2015-04-08,24.89672325550245
2015-04-09,24.962052008781
2015-04-10,25.174479670257472
2015-04-13,25.331840781237908
2015-04-14,25.242455457881256
2015-04-15,25.701617771531065
2015-04-16,25.646180715170065
2015-04-17,25.59905433187258
2015-04-20,25.762880338182132
2015-04-21,25.923757379673628
2015-04-22,26.233842007262915
2015-04-23,26.24789204949101
2015-04-24,25.97529557030119
2015-04-27,25.930363484688986
2015-04-28,26.395271452930935
2015-04-29,26.538479655875317
2015-04-30,26.518144442432863
2015-05-04,26.466129495777192
2015-05-05,26.744705423962774
2015-05-06,26.76961177812186
2015-05-07,26.89982138880988
2015-05-08,27.436348044102978
2015-05-11,27.371684715759333
2015-05-12,27.52483326930969
2015-05-13,27.378043081050414
2015-05-14,27.40110952803064
2015-05-15,27.35539435884839
2015-05-18,27.654432126271484
2015-05-19,27.853605322285652
2015-05-20,28.08409418035771
2015-05-21,28.487843463588547
2015-05-22,28.495031075631726
2015-05-25,28.51497920690323
2015-05-26,28.89316311690487
2015-05-27,28.95468085826664
2015-05-28,29.894066195995734
2015-05-29,29.819457904669562
2015-06-01,30.469887703740735
2015-06-02,30.994030506852283
2015-06-03,31.00269694820173
2015-06-04,30.638830377227826
2015-06-05,30.579332309282957
2015-06-08,29.830433102536517
2015-06-09,29.697235988657805
2015-06-10,29.780665612151598
2015-06-11,29.84794246133131
2015-06-12,29.85575489213846
2015-06-15,29.898805898986282
2015-06-16,30.70332811363713
2015-06-17,30.698607773003307
2015-06-18,30.923895694405118
2015-06-19,31.36975281860267
2015-06-23,31.287819658331024
2015-06-24,31.293822707850282
2015-06-25,31.839011765007253
2015-06-26,34.33007029574381
2015-06-29,36.05848051707404
2015-06-30,36.075512894061454
2015-07-01,37.375157174197106
2015-07-02,38.83259563709694
2015-07-03,40.09149097625627
2015-07-06,41.03302504977183
2015-07-07,42.01586800437712
2015-07-08,42.29855029942842
2015-07-09,42.42417665422162
2015-07-10,42.653392487265094
2015-07-13,43.09704860102844
2015-07-14,43.2283889815645
2015-07-15,43.753369237556605
2015-07-16,43.6616820524814
2015-07-17,43.87400914739195
2015-07-20,43.94118694370305
2015-07-21,44.030676500222
2015-07-22,44.0315820826228
2015-07-23,44.190420499807686
2015-07-24,44.23463546912759
2015-07-27,45.361921599509884
2015-07-28,45.7989416699655
2015-07-29,46.129773250267924
2015-07-30,46.337250848510955
2015-07-31,46.48141635949328
2015-08-03,47.228006133345886
2015-08-04,47.86849500048183
2015-08-05,47.79016513337446
2015-08-06,47.75956193593033
2015-08-07,47.97297505811193
2015-08-10,48.33675296356949
2015-08-11,48.34526266478708
2015-08-12,48.378310040821226
2015-08-13,48.445956071789965
2015-08-14,48.46762552271061
2015-08-17,48.507411079653636
2015-08-18,49.57513920864006
2015-08-19,49.63901770044201
2015-08-20,49.89463563935993
2015-08-21,50.52457522998595
2015-08-24,51.59172550946488
2015-08-25,52.55275314860075
2015-08-26,52.83554421539704
2015-08-27,52.91813023490987
2015-08-28,53.42704177722598
2015-08-31,53.639822227690736
2015-09-01,54.27728448796244
2015-09-02,54.59546354461581
2015-09-07,54.454423488156365
2015-09-08,54.762112548702326
2015-09-09,54.983445767280536
2015-09-10,55.00927654675344
2015-09-11,54.9945996684222
2015-09-14,55.65811842449266
2015-09-15,56.135895891524726
2015-09-16,56.688824423716866
2015-09-17,56.728550765107364
2015-09-18,56.725837382053214
2015-09-21,56.91234534931969
2015-09-22,56.91291345297513
2015-09-23,56.80725231194964
2015-09-24,56.71768624329252
2015-09-25,56.85606298165783
2015-09-28,56.86136320308237
2015-09-29,56.896160325109925
2015-09-30,56.88329016356912
2015-10-08,56.9840258685806
2015-10-09,56.92820471022701
2015-10-12,57.24734997026858
2015-10-13,57.07617516872855
2015-10-14,57.07429417387861
2015-10-15,57.2222301847751
2015-10-16,57.18066959128373
2015-10-19,56.946123630439246
2015-10-20,56.81234316139251
2015-10-21,57.494661420669736
2015-10-22,57.753811792277624
2015-10-23,57.92632310877453
2015-10-26,57.78145662756804
2015-10-27,57.67731024735924
2015-10-28,57.74037427554492
2015-10-29,57.74652836459537
2015-10-30,57.65793094343681
2015-11-02,57.74785306012089
2015-11-03,57.68784094087118
2015-11-04,57.76340323125358
2015-11-05,57.38079672434439
2015-11-06,57.393779811823705
2015-11-09,57.39109646909988
2015-11-10,57.351909231612396
2015-11-11,57.44512579950376
2015-11-12,57.24836029159405
2015-11-13,57.16388838743776
2015-11-16,57.10887236094403
2015-11-17,56.80938336165055
2015-11-18,56.81955382245675
2015-11-19,56.93599972620298
2015-11-20,56.74048672224128
2015-11-23,56.65332963309824
2015-11-24,56.34577043002182
2015-11-25,56.38726580724606
2015-11-26,55.8928489366771
2015-11-27,56.05806832248638
2015-11-30,56.05195600081644
2015-12-01,56.031024776247406
2015-12-02,56.03707779591216
2015-12-03,56.14649782744156
2015-12-04,56.155962098836866
2015-12-07,56.110355864967765
2015-12-08,56.026446481968925
2015-12-09,55.93816653113084
2015-12-10,55.92793557538265
2015-12-11,55.57237370488619
2015-12-14,55.54696842140606
2015-12-15,55.4526378655379
2015-12-16,54.577198672600026
2015-12-17,54.78172752753757
2015-12-18,54.6478327193516
2015-12-21,54.4622457217514
2015-12-22,53.20357141907937
2015-12-23,52.08612236217574
2015-12-24,51.914150221437325
2015-12-25,51.148024436375074
2015-12-28,50.348080836983
2015-12-29,49.42904421775477
2015-12-30,48.715831799849774
2015-12-31,48.019203364525495
2016-01-04,49.428836058771644
2016-01-05,49.40711793960326
2016-01-06,49.31187961730249
2016-01-07,50.41544116400994
2016-01-08,50.26384372481368
2016-01-11,51.01351606023313
2016-01-12,51.00639892043854
2016-01-13,50.85550214802137
2016-01-14,50.97217207250636
2016-01-15,51.09423833452142
2016-01-18,51.14669907414201
2016-01-19,51.214164161847265
2016-01-20,51.20131752411233
2016-01-21,50.727538367825765
2016-01-22,50.47671365121992
2016-01-25,50.088330126165694
2016-01-26,51.129891215214386
2016-01-27,51.053774754091094
2016-01-28,50.950047661111554
2016-01-29,50.51089037035092
2016-02-01,50.5255759227215
2016-02-02,50.8349407976907
2016-02-03,50.57785740420299
2016-02-04,50.24952387925198
2016-02-05,50.21764634625239
2016-02-15,50.19439498912298
2016-02-16,50.35904330278185
2016-02-17,50.36709009948513
2016-02-18,50.288472391097784
2016-02-19,49.40480014742123
2016-02-22,49.381134681780296
2016-02-23,49.11352455590411
2016-02-24,48.546037517271365
2016-02-25,48.795387299405434
2016-02-26,47.79962137417416
2016-02-29,48.401541327834195
2016-03-01,48.343833003950174
2016-03-02,48.14631199816418
2016-03-03,47.92833830146686
2016-03-04,47.527611714677825
2016-03-07,47.2652525964711
2016-03-08,47.22752434914664
2016-03-09,46.91679575521991
2016-03-10,46.65049018144208
2016-03-11,46.614275879007764
2016-03-14,46.89067827838353
2016-03-15,45.92663349734361
2016-03-16,45.31524504768923
2016-03-17,44.84188462728322
2016-03-18,45.01564213959238
2016-03-21,45.145763610622005
2016-03-22,44.932285958486744
2016-03-23,44.94045569204585
2016-03-24,44.9619158794992
2016-03-25,44.93136117915182
2016-03-28,44.56080327815412
2016-03-29,44.578139872834576
2016-03-30,44.81410708210998
2016-03-31,44.829958402446685
2016-04-01,44.56383675949993
2016-04-05,44.65679216558115
2016-04-06,44.290343740988064
2016-04-07,44.306757302684794
2016-04-08,44.30989495310607
2016-04-11,44.22706316211988
2016-04-12,44.184751045612494
2016-04-13,44.2271612627156
2016-04-14,44.21105472716866
2016-04-15,43.22993577100469
2016-04-18,42.94541406464776
2016-04-19,42.72514000359585
2016-04-20,43.1638388482802
2016-04-21,43.20110870151346
2016-04-22,43.11512426467171
2016-04-25,43.08289280922324
2016-04-26,43.12395995849169
2016-04-27,42.988314610089276
2016-04-28,42.99030801078592
2016-04-29,42.47631132624875
2016-05-03,42.66927717822841
2016-05-04,42.469614203707394
2016-05-05,42.4138600214137
2016-05-06,42.80769360888384
2016-05-09,43.18566332266176
2016-05-10,43.169066276408294
2016-05-11,43.100803840070526
2016-05-12,42.924888719604084
2016-05-13,42.91765933238227
2016-05-16,42.971697505574554
2016-05-17,42.75974487724156
2016-05-18,42.888451166909945
2016-05-19,42.90194653765342
2016-05-20,42.87166837727785
2016-05-23,42.83319884341266
2016-05-24,42.846733118421284
2016-05-25,42.02082950513245
2016-05-26,41.98803627649884
2016-05-27,41.99170366897195
2016-05-30,41.94304127524087
2016-05-31,42.041693374342614
2016-06-01,42.0649378334144
2016-06-02,42.00345219317812
2016-06-03,41.95877823243807
2016-06-06,41.9592347189554
2016-06-07,41.965547219010176
2016-06-08,41.94408719369916
2016-06-13,42.545803550748616
2016-06-14,42.4923087587172
2016-06-15,42.76952330966375
2016-06-16,42.50271794259383
2016-06-17,42.517495841449715
2016-06-20,42.50400703864924
2016-06-21,42.474133403341376
2016-06-22,42.54558319802711
2016-06-23,42.53835575901311
2016-06-24,42.52043071749168
2016-06-27,42.50935619521255
2016-06-28,42.52466621034999
2016-06-29,42.494617537995815
2016-06-30,42.405673821639084
2016-07-01,40.594271933539154
2016-07-04,40.481685921851366
2016-07-05,40.25859161602357
2016-07-06,38.33343733173099
2016-07-07,38.32879076957512
2016-07-08,36.76689161080518
2016-07-11,36.79077913098513
2016-07-12,36.30674972093046
2016-07-13,35.971953650906464
2016-07-14,35.52629361253805
2016-07-15,35.37335328332898
2016-07-18,34.968514615977675
2016-07-19,34.97664454383807
2016-07-20,34.37069104506772
2016-07-21,34.284356561731364
2016-07-22,34.27136712324293
2016-07-25,32.377376620618534
2016-07-26,32.34010848490791
2016-07-27,32.39742918471455
2016-07-28,32.0347044420682
2016-07-29,32.01841120683936
2016-08-01,31.696372552574516
2016-08-02,31.705028264149416
2016-08-03,31.52618857319268
2016-08-04,31.506758310729587
2016-08-05,31.52764838838193
2016-08-08,31.059501486704132
2016-08-09,31.02489178577294
2016-08-10,31.025834430001463
2016-08-11,31.101529169892387
2016-08-12,30.97397922629414
2016-08-15,31.091915815420435
2016-08-16,31.11736252441601
2016-08-17,28.85347943175574
2016-08-18,28.84956028311686
2016-08-19,27.193724521321894
2016-08-22,27.147730391790994
2016-08-23,26.396484055223702
2016-08-24,26.40330482470957
2016-08-25,25.801855133411088
2016-08-26,25.577824859631736
2016-08-29,25.5556874244149
2016-08-30,25.348343457099205
2016-08-31,25.193451576018393
2016-09-01,25.20934045549251
2016-09-02,24.712393168550307
2016-09-05,24.694916651771226
2016-09-06,24.72571870528805
2016-09-07,24.279001518580166
2016-09-08,23.77223752081198
2016-09-09,23.52148454103417
2016-09-12,23.91813900697077
2016-09-13,23.93189361835764
2016-09-14,23.887068152624398
2016-09-19,23.92995313074043
2016-09-20,23.921174526177804
2016-09-21,23.712580952002117
2016-09-22,23.140264795171827
2016-09-23,23.10036943322196
2016-09-26,23.350726247705836
2016-09-27,23.073337182833846
2016-09-28,23.055412896750603
2016-09-29,22.929240092547325
2016-09-30,22.901296014612956
2016-10-10,22.92382090581388
2016-10-11,22.935573390422874
2016-10-12,22.84759689099213
2016-10-13,22.75025036666845
2016-10-14,22.74666892219182
2016-10-17,22.74020831138345
2016-10-18,22.8764470420861
2016-10-19,21.97537663581528
2016-10-20,21.876990846873408
2016-10-21,21.86529140481232
2016-10-24,21.876080009207115
2016-10-25,21.80961799761079
2016-10-26,21.813948315161248
2016-10-27,21.80901663600757
2016-10-28,21.87401731140276
2016-10-31,21.514026254882015
2016-11-01,21.609594125215445
2016-11-02,21.59309377480075
2016-11-03,20.733198688442034
2016-11-04,19.563377343025877
2016-11-07,19.53925314275272
2016-11-08,19.43579372374798
2016-11-09,19.420705496169134
2016-11-10,19.51680541020306
2016-11-11,19.342355476766752
2016-11-14,19.342644886293687
2016-11-15,18.630892476500495
2016-11-16,18.62467431625112
2016-11-17,18.611674186353138
2016-11-18,18.472976722740768
2016-11-21,18.408336134671526
2016-11-22,18.432361983956593
2016-11-23,18.462555955925218
2016-11-24,18.484598949737208
2016-11-25,18.46854669122202
2016-11-28,17.782667400620973
2016-11-29,17.915113855519103
2016-11-30,17.867759023227137
2016-12-01,17.873395394385554
2016-12-02,18.125680288193642
2016-12-05,18.1461885439049
2016-12-06,18.149742764003307
2016-12-07,16.400487327718782
2016-12-08,16.429215749829915
2016-12-09,15.709301765059175
2016-12-12,17.82429456453824
2016-12-13,17.825535827575408
2016-12-14,17.825116991310775
2016-12-15,17.824614077378108
2016-12-16,17.746771696573457
2016-12-19,17.726067044583043
2016-12-20,17.69534549168523
2016-12-21,17.43337390296459
2016-12-22,17.34217937642591
2016-12-23,17.447221534649863
2016-12-26,17.46749920227341
2016-12-27,17.478901554106862
2016-12-28,17.32612233618115
2016-12-29,17.319301454263627
2016-12-30,17.310499738393037
2017-01-03,17.37836313248436
2017-01-04,17.471456260366654
2017-01-05,17.425002531458283
2017-01-06,17.465028989453376
2017-01-09,17.447631359211286
2017-01-10,17.447836963931003
2017-01-11,17.542055683278974
2017-01-12,17.591585394265298
2017-01-13,17.811116492367155
2017-01-16,19.023031227086726
2017-01-17,19.102938213690123
2017-01-18,19.0656380230553
2017-01-19,19.087271354894845
2017-01-20,19.180204705872463
2017-01-23,17.76375733984848
2017-01-24,17.760320403119113
2017-01-25,17.725286042831144
2017-01-26,17.557353396007112
2017-02-03,17.511750731668315
2017-02-06,17.591149526843566
2017-02-07,17.569250343944258
2017-02-08,17.572866418883613
2017-02-09,17.596177724203468
2017-02-10,17.5297788464418
2017-02-13,17.543820661340224
2017-02-14,17.38236656539362
2017-02-15,17.415104956338674
2017-02-16,17.211772196386647
2017-02-17,17.228080552848503
2017-02-20,17.226358338642278
2017-02-21,17.262339636197137
2017-02-22,17.27359121815927
2017-02-23,17.180179706386888
2017-02-24,17.177548639484037
2017-02-27,17.200037228673867
2017-02-28,17.189934954743517
2017-03-01,17.179909575066947
2017-03-02,17.203023572452793
2017-03-03,17.20599903328943
2017-03-06,17.280546455813397
2017-03-07,17.26807285523167
2017-03-08,17.25999627957856
2017-03-09,17.26958832046003
2017-03-10,17.12694601026452
2017-03-13,17.141248577032258
2017-03-14,17.13020282788912
2017-03-15,17.115276354714176
2017-03-16,16.63774877253567
2017-03-17,16.574878316762977
2017-03-20,16.56007674554465
2017-03-21,16.476456386645502
2017-03-22,16.501556286237783
2017-03-23,16.49533497921101
2017-03-24,16.465437373414975
2017-03-27,16.464741602255497
2017-03-28,16.116456829184955
2017-03-29,16.157753212768547
2017-03-30,16.601302791679178
2017-03-31,16.59807557641456
2017-04-05,16.771789251198406
2017-04-06,16.47560587902337
2017-04-07,16.425247649300438
2017-04-10,16.55099543932557
2017-04-11,16.55537680436271
2017-04-12,16.61309200399733
2017-04-13,16.55633955357576
2017-04-14,16.500190898828524
2017-04-17,16.745742221470188
2017-04-18,16.801113238898438
2017-04-19,16.923479833650912
2017-04-20,16.909592909307992
2017-04-21,16.911603737638345
2017-04-24,17.586916697584716
2017-04-25,17.593163068358507
2017-04-26,17.553703089202095
2017-04-27,17.586126327067717
2017-04-28,17.48441839477951
2017-05-02,17.493768507938633
2017-05-03,17.44993835204152
2017-05-04,17.4492405070018
2017-05-05,17.51793014927577
2017-05-08,17.76814373651511
2017-05-09,17.779203915278043
2017-05-10,17.721307918974567
2017-05-11,17.724508460946595
2017-05-12,17.704193705985066
2017-05-15,17.668643749296333
2017-05-16,17.971334455992643
2017-05-17,17.997550914129498
2017-05-18,18.008167682302133
2017-05-19,17.978226735038312
2017-05-22,18.15375024330472
2017-05-23,18.66429057713809
2017-05-24,18.685471628844194
2017-05-25,18.708161651445973
2017-05-26,18.711279528924578
2017-05-31,18.60104246121399
2017-06-01,19.02635678372717
2017-06-02,19.08801731049482
2017-06-05,18.98440462506122
2017-06-06,18.98725266828428
2017-06-07,19.3149002697337
2017-06-08,19.20164932139146
2017-06-09,19.200869409958084
2017-06-12,19.38510197085015
2017-06-13,17.818934801871738
2017-06-14,17.788584547270723
2017-06-15,17.91234428506025
2017-06-16,17.803793011934317
2017-06-19,17.72374747564606
2017-06-20,17.724450405749163
2017-06-21,17.718597405139057
2017-06-22,17.90329376956878
2017-06-23,17.907492090096756
2017-06-26,17.932443549748108
2017-06-27,17.90819064594765
2017-06-28,17.921129557612492
2017-06-29,17.93205443685065
2017-06-30,17.93589300817371
2017-07-03,17.992991689668848
2017-07-04,17.90247379852477
2017-07-05,17.82778450942671
2017-07-06,17.832387690726563
2017-07-07,17.821384459870124
2017-07-10,17.829679374259687
2017-07-11,17.91558279903764
2017-07-12,17.84460434633971
2017-07-13,17.80375618912323
2017-07-14,17.60910917696721
2017-07-17,18.479046424642785
2017-07-18,18.445752214141645
2017-07-19,18.54064243564099
2017-07-20,18.535563392232486
2017-07-21,18.343284191616462
2017-07-24,18.29280662856088
2017-07-25,18.29230127344571
2017-07-26,18.291050637011598
2017-07-27,18.41531321130292
2017-07-28,18.414029236416376
2017-07-31,18.328021839099307
2017-08-01,18.31080742395656
2017-08-02,18.296083500071834
2017-08-03,18.245341810044373
2017-08-04,18.247941059564983
2017-08-07,18.262105093555533
2017-08-08,18.268921108717766
2017-08-09,18.24798938723467
2017-08-10,18.240042133214033
2017-08-11,18.291102545978884
2017-08-14,18.472399688470784
2017-08-15,18.441520956364847
2017-08-16,18.447020046806962
2017-08-17,18.486690335410238
2017-08-18,18.47330932075839
2017-08-21,18.500566565748972
2017-08-22,18.498903109435354
2017-08-23,18.48668164378406
2017-08-24,18.485663309220648
2017-08-25,18.541653583342722
2017-08-28,18.533412726655605
2017-08-29,18.51972541224748
