time,000905.SH_均线_20日
2015-08-25,7973.7783500000005
2015-08-26,7884.564850000001
2015-08-27,7817.3386
2015-08-28,7773.13025
2015-08-31,7725.185649999999
2015-09-01,7636.541249999999
2015-09-02,7550.702
2015-09-07,7468.278450000001
2015-09-08,7386.355249999999
2015-09-09,7294.201300000001
2015-09-10,7194.4504
2015-09-11,7102.299499999999
2015-09-14,6978.06755
2015-09-15,6832.20695
2015-09-16,6695.42595
2015-09-17,6585.632949999999
2015-09-18,6470.42785
2015-09-21,6380.4742
2015-09-22,6314.6254
2015-09-23,6275.546
2015-09-24,6267.2309000000005
2015-09-25,6260.723400000001
2015-09-28,6248.90525
2015-09-29,6211.94085
2015-09-30,6189.06155
2015-10-08,6199.225799999999
2015-10-09,6216.6007
2015-10-12,6245.35895
2015-10-13,6266.72005
2015-10-14,6275.3945
2015-10-15,6299.8409
2015-10-16,6327.55295
2015-10-19,6377.432049999999
2015-10-20,6450.1343
2015-10-21,6481.529399999999
2015-10-22,6531.47385
2015-10-23,6586.541500000001
2015-10-26,6633.357300000001
2015-10-27,6680.132799999999
2015-10-28,6721.347500000001
2015-10-29,6761.04075
2015-10-30,6809.8705
2015-11-02,6845.7074999999995
2015-11-03,6886.5323499999995
2015-11-04,6943.7454
2015-11-05,6988.94335
2015-11-06,7037.78315
2015-11-09,7079.0371
2015-11-10,7117.683650000001
2015-11-11,7165.69215
2015-11-12,7203.352900000001
2015-11-13,7229.3303
2015-11-16,7262.90445
2015-11-17,7287.31975
2015-11-18,7328.0298999999995
2015-11-19,7365.746100000001
2015-11-20,7399.1476999999995
2015-11-23,7427.019050000001
2015-11-24,7455.37215
2015-11-25,7499.0466
2015-11-26,7537.301850000001
2015-11-27,7551.8595000000005
2015-11-30,7575.457850000001
2015-12-01,7601.649950000001
2015-12-02,7608.543549999999
2015-12-03,7623.246399999999
2015-12-04,7626.487800000001
2015-12-07,7629.409150000001
2015-12-08,7620.86585
2015-12-09,7605.3462500000005
2015-12-10,7588.734149999999
2015-12-11,7574.91385
2015-12-14,7561.022599999999
2015-12-15,7553.412600000001
2015-12-16,7553.53565
2015-12-17,7553.41685
2015-12-18,7548.07205
2015-12-21,7550.291149999999
2015-12-22,7553.19665
2015-12-23,7545.741599999999
2015-12-24,7539.68945
